[Header]																																																																																																																																																																																																																																																																																								
File opened	6/12/23 12:23																																																																																																																																																																																																																																																																																							
Console s/n	68C-022608																																																																																																																																																																																																																																																																																							
Console ver	Bluestem v.2.0.04																																																																																																																																																																																																																																																																																							
Scripts ver	"2021.08  2.0.04, Aug 2021"																																																																																																																																																																																																																																																																																							
Head s/n	68H-422598																																																																																																																																																																																																																																																																																							
Head ver	1.4.7																																																																																																																																																																																																																																																																																							
Head cal	"{""oxygen"": ""21"", ""co2azero"": ""0.924103"", ""co2aspan1"": ""1.00016"", ""co2aspan2"": ""-0.0254498"", ""co2aspan2a"": ""0.319337"", ""co2aspan2b"": ""0.316792"", ""co2aspanconc1"": ""2491"", ""co2aspanconc2"": ""303.6"", ""co2bzero"": ""0.921166"", ""co2bspan1"": ""0.99991"", ""co2bspan2"": ""-0.0259223"", ""co2bspan2a"": ""0.316673"", ""co2bspan2b"": ""0.314045"", ""co2bspanconc1"": ""2491"", ""co2bspanconc2"": ""303.6"", ""h2oazero"": ""1.06186"", ""h2oaspan1"": ""1.01033"", ""h2oaspan2"": ""0"", ""h2oaspan2a"": ""0.0705651"", ""h2oaspan2b"": ""0.0712942"", ""h2oaspanconc1"": ""12.15"", ""h2oaspanconc2"": ""0"", ""h2obzero"": ""1.07114"", ""h2obspan1"": ""1.02672"", ""h2obspan2"": ""0"", ""h2obspan2a"": ""0.0697958"", ""h2obspan2b"": ""0.0716606"", ""h2obspanconc1"": ""12.15"", ""h2obspanconc2"": ""0"", ""tazero"": ""0.108437"", ""tbzero"": ""0.225744"", ""flowmeterzero"": ""0.99294"", ""flowazero"": ""0.26307"", ""flowbzero"": ""0.3126"", ""chamberpressurezero"": ""2.5672"", ""ssa_ref"": ""35216.5"", ""ssb_ref"": ""35428.5""}"																																																																																																																																																																																																																																																																																							
CO2 rangematch	Mon Jun 12 12:02																																																																																																																																																																																																																																																																																							
H2O rangematch	Mon Jun 12 12:08																																																																																																																																																																																																																																																																																							
Chamber type	6800-01A																																																																																																																																																																																																																																																																																							
Chamber s/n	MPF-842248																																																																																																																																																																																																																																																																																							
Chamber rev	0																																																																																																																																																																																																																																																																																							
Chamber cal	0																																																																																																																																																																																																																																																																																							
Fluorometer	MPF-842248																																																																																																																																																																																																																																																																																							
Flr. Version	1.4.7																																																																																																																																																																																																																																																																																							
12:23:01	Stability Definition:	_CO2 (Meas2): Slp<0.5 Per=20	_H2O (Meas2): Slp<0.1 Per=20	F (FlrLS): Slp<1 Per=20																																																																																																																																																																																																																																																																																				
SysConst:AvgTime	4																																																																																																																																																																																																																																																																																							
SysConst:Oxygen	21																																																																																																																																																																																																																																																																																							
ChambConst:Chamber	6800-01A																																																																																																																																																																																																																																																																																							
ChambConst:Aperture	6 cm_																																																																																																																																																																																																																																																																																							
ChambConst:blc_a	0.578																																																																																																																																																																																																																																																																																							
ChambConst:blc_b	0.5229739																																																																																																																																																																																																																																																																																							
ChambConst:blc_c	0.003740252																																																																																																																																																																																																																																																																																							
ChambConst:blc_d	-0.06197961																																																																																																																																																																																																																																																																																							
ChambConst:blc_e	-0.005608586																																																																																																																																																																																																																																																																																							
ChambConst:blc_minS	1																																																																																																																																																																																																																																																																																							
ChambConst:blc_maxS	6																																																																																																																																																																																																																																																																																							
ChambConst:blc_Po	96.9																																																																																																																																																																																																																																																																																							
LTConst:deltaTw	0																																																																																																																																																																																																																																																																																							
LTConst:fT1	1																																																																																																																																																																																																																																																																																							
LTConst:fT2	0																																																																																																																																																																																																																																																																																							
LTConst:fTeb	0																																																																																																																																																																																																																																																																																							
LQConst:Leaf	standard																																																																																																																																																																																																																																																																																							
LQConst:Ambient	Fluorescent																																																																																																																																																																																																																																																																																							
LQConst:abs_ambient	0.76																																																																																																																																																																																																																																																																																							
LQConst:abs_redLED	0.84																																																																																																																																																																																																																																																																																							
LQConst:abs_greenLED	0.7																																																																																																																																																																																																																																																																																							
LQConst:abs_blueLED	0.87																																																																																																																																																																																																																																																																																							
LQConst:abs_whiteLED	0.75																																																																																																																																																																																																																																																																																							
LQConst:abs_redFlr	0.84																																																																																																																																																																																																																																																																																							
LQConst:abs_blueFlr	0.87																																																																																																																																																																																																																																																																																							
LQConst:k_ambient	0.1725																																																																																																																																																																																																																																																																																							
LQConst:k_redLED	0.1512																																																																																																																																																																																																																																																																																							
LQConst:k_greenLED	0.161																																																																																																																																																																																																																																																																																							
LQConst:k_blueLED	0.2262																																																																																																																																																																																																																																																																																							
LQConst:k_whiteLED	0.1575																																																																																																																																																																																																																																																																																							
LQConst:k_redFlr	0.1596																																																																																																																																																																																																																																																																																							
LQConst:k_blueFlr	0.2175																																																																																																																																																																																																																																																																																							
QConst:fQ_Amb_in	0																																																																																																																																																																																																																																																																																							
QConst:fQ_Amb_out	0																																																																																																																																																																																																																																																																																							
QConst:fQ_HeadLS	0																																																																																																																																																																																																																																																																																							
QConst:fQ_ConsoleLS	0																																																																																																																																																																																																																																																																																							
