plot,subplot,composite,gm.trt,canopy,days_deployed,phosphate_ppm,nitrate_ppm,ammonium_ppm,inorg_n_ppm,phosphate_ppm_day,nitrate_ppm_day,ammonium_ppm_day,inorg_n_ppm
3,1,C1,weeded,pre_closure,41,1.366,12.362,0.194,12.556,0.033317073,0.301512195,0.004731707,0.306243902
3,1,C1,weeded,post_closure,29,1.305,11.23,0.071,11.301,0.045,0.387241379,0.002448276,0.389689655
3,2,C1,weeded,pre_closure,41,1.366,12.362,0.194,12.556,0.033317073,0.301512195,0.004731707,0.306243902
3,2,C1,weeded,post_closure,29,1.305,11.23,0.071,11.301,0.045,0.387241379,0.002448276,0.389689655
3,3,C2,weeded,pre_closure,41,1.497,15.902,0.204,16.106,0.036512195,0.387853659,0.00497561,0.392829268
3,3,C2,weeded,post_closure,29,0.521,9.441,0.064,9.505,0.017965517,0.325551724,0.002206897,0.327758621
3,4,C3,invaded,pre_closure,41,1.537,12.818,0.13,12.948,0.037487805,0.312634146,0.003170732,0.315804878
3,4,C3,invaded,post_closure,29,1.2,11.276,0.065,11.341,0.04137931,0.388827586,0.002241379,0.391068966
3,5,C4,invaded,pre_closure,41,0.935,16.769,0.181,16.95,0.022804878,0.409,0.004414634,0.413414634
3,5,C4,invaded,post_closure,29,0.401,12.234,0.076,12.31,0.013827586,0.421862069,0.00262069,0.424482759
3,6,C4,invaded,pre_closure,41,0.935,16.769,0.181,16.95,0.022804878,0.409,0.004414634,0.413414634
3,6,C4,invaded,post_closure,29,0.401,12.234,0.076,12.31,0.013827586,0.421862069,0.00262069,0.424482759
3,7,C1,weeded,pre_closure,41,1.366,12.362,0.194,12.556,0.033317073,0.301512195,0.004731707,0.306243902
3,12,C4,invaded,pre_closure,41,0.935,16.769,0.181,16.95,0.022804878,0.409,0.004414634,0.413414634
3,12,C4,invaded,post_closure,29,0.401,12.234,0.076,12.31,0.013827586,0.421862069,0.00262069,0.424482759
3,13,C5,weeded,pre_closure,41,1.628,4.832,0.265,5.097,0.039707317,0.117853659,0.006463415,0.124317073
3,13,C5,weeded,post_closure,29,1.222,13.55,0.062,13.612,0.042137931,0.467241379,0.002137931,0.46937931
3,14,C5,weeded,pre_closure,41,1.628,4.832,0.265,5.097,0.039707317,0.117853659,0.006463415,0.124317073
3,16,C7,invaded,pre_closure,41,1.426,17.693,0.188,17.881,0.034780488,0.431536585,0.004585366,0.436121951
3,16,C7,invaded,post_closure,29,1.288,1.648,0.063,1.711,0.044413793,0.056827586,0.002172414,0.059
3,17,C8,invaded,pre_closure,41,0.559,22.785,0.125,22.91,0.013634146,0.555731707,0.00304878,0.558780488
3,17,C8,invaded,post_closure,29,0.562,6.197,0.074,6.271,0.01937931,0.213689655,0.002551724,0.216241379
3,18,C8,invaded,pre_closure,41,0.559,22.785,0.125,22.91,0.013634146,0.555731707,0.00304878,0.558780488
3,18,C8,invaded,post_closure,29,0.562,6.197,0.074,6.271,0.01937931,0.213689655,0.002551724,0.216241379
3,20,C5,weeded,pre_closure,41,1.628,4.832,0.265,5.097,0.039707317,0.117853659,0.006463415,0.124317073
3,20,C5,weeded,post_closure,29,1.222,13.55,0.062,13.612,0.042137931,0.467241379,0.002137931,0.46937931
3,21,C6,weeded,pre_closure,41,1.359,17.447,0.162,17.609,0.033146341,0.425536585,0.00395122,0.429487805
3,21,C6,weeded,post_closure,29,0.768,12.2,0.083,12.283,0.026482759,0.420689655,0.002862069,0.423551724
3,22,C7,invaded,pre_closure,41,1.426,17.693,0.188,17.881,0.034780488,0.431536585,0.004585366,0.436121951
3,22,C7,invaded,post_closure,29,1.288,1.648,0.063,1.711,0.044413793,0.056827586,0.002172414,0.059
3,23,C8,invaded,pre_closure,41,0.559,22.785,0.125,22.91,0.013634146,0.555731707,0.00304878,0.558780488
3,24,C8,invaded,pre_closure,41,0.559,22.785,0.125,22.91,0.013634146,0.555731707,0.00304878,0.558780488
3,24,C8,invaded,post_closure,29,0.562,6.197,0.074,6.271,0.01937931,0.213689655,0.002551724,0.216241379
3,27,C10,weeded,pre_closure,41,0.887,12.39,0.233,12.623,0.021634146,0.302195122,0.005682927,0.307878049
3,30,C12,invaded,pre_closure,41,0.501,13.944,0.638,14.582,0.012219512,0.340097561,0.015560976,0.355658537
