"id","spp","plot","subplot","composite","gm.trt","canopy","FmPrime","FoPrime","Fs","FvP_over_FmP","NPQt","Phi2","PhiNO","PhiNPQ","SPAD"
"2131","Mai",3,30,"C12","invaded","pre_closure",2131.53,714,1140.33,0.665,1.458,0.465,0.218,0.317,25.158
"2131","Tri",7,11,"C4","invaded","pre_closure",2686.69,744,1457.67,0.723,0.869,0.457,0.29,0.252,38.155
"2215","Ari",5,8,"C1","weeded","post_closure",3484.82,961,1897,0.724,0.858,0.456,0.293,0.251,28.829
"2229","Mai",7,32,"C9","weeded","post_closure",3573.94,896,1898.67,0.749,0.633,0.469,0.325,0.206,44.368
"2247","Mai",7,21,"C6","weeded","post_closure",3662.2,818,1805,0.777,0.404,0.507,0.351,0.142,45.562
"2265","Mai",7,23,"C8","invaded","post_closure",3136.61,863,1704.67,0.725,0.852,0.457,0.293,0.25,38.134
"2265","Mai",7,23,"C8","invaded","pre_closure",1890.94,636,1169.67,0.664,1.473,0.381,0.25,0.368,25.571
"2268","Mai",3,18,"C8","invaded","post_closure",4539.79,1355,3032,0.702,1.076,0.332,0.322,0.346,41.402
"2268","Mai",3,18,"C8","invaded","pre_closure",1970.37,688,1180.33,0.651,1.618,0.401,0.229,0.37,26.272
"2285","Mai",7,23,"C8","invaded","pre_closure",2241.41,657,1211.33,0.707,1.024,0.46,0.267,0.273,24.012
"2289","Tri",7,11,"C4","invaded","post_closure",2534.96,912,1432,0.64,1.742,0.435,0.206,0.359,39.891
"2310","Mai",3,4,"C3","invaded","post_closure",3395.78,1328,2223,0.609,2.134,0.345,0.209,0.446,36.854
"2310","Mai",3,4,"C3","invaded","pre_closure",2343.29,738,2022,0.685,1.243,0.137,0.385,0.478,25.782
"2329","Tri",3,20,"C5","weeded","post_closure",5219.98,2308,3516.33,0.558,2.868,0.326,0.174,0.499,54.07
"2329","Tri",3,20,"C5","weeded","pre_closure",3014.07,843,1478.67,0.72,0.895,0.509,0.259,0.232,45.757
"2337","Mai",3,22,"C7","invaded","post_closure",3909.79,1206,2536.33,0.692,1.177,0.351,0.298,0.351,33.226
"2337","Mai",3,22,"C7","invaded","pre_closure",2297.82,703,1311.33,0.694,1.151,0.429,0.265,0.305,23.521
"2337","Mai",3,22,"C7","invaded","pre_closure",2726.35,738,1236.33,0.729,0.811,0.547,0.25,0.203,24.929
"2379","Tri",7,23,"C8","invaded","post_closure",4299.2,1194,2232.67,0.722,0.876,0.481,0.277,0.243,47.679
"2379","Tri",7,23,"C8","invaded","pre_closure",3000.16,788,1657,0.737,0.738,0.448,0.318,0.235,35.365
"2382","Tri",7,23,"C8","invaded","post_closure",4088.82,1084,2105,0.735,0.76,0.485,0.292,0.222,49.149
"2409","Ari",7,8,"C1","weeded","post_closure",4575.65,1472,2994.33,0.678,1.314,0.346,0.283,0.372,37.048
"2416","Tri",3,17,"C8","invaded","post_closure",4685.17,1456,3028.33,0.689,1.2,0.354,0.294,0.353,44.624
"2416","Tri",3,17,"C8","invaded","pre_closure",3367.84,946,3193.67,0.719,0.906,0.052,0.497,0.451,34.938
"2438","Ari",7,14,"C5","weeded","post_closure",3783.67,1546,2533.67,0.591,2.372,0.33,0.199,0.471,36.718
"2508","Tri",5,21,"C6","weeded","post_closure",3527.51,895,1752.33,0.746,0.659,0.503,0.299,0.197,39.682
"2508","Tri",5,21,"C6","weeded","pre_closure",2269.43,788,2147.67,0.653,1.596,0.054,0.365,0.582,31.529
"2546","Mai",7,33,"C10","weeded","pre_closure",893.79,593,852,0.337,8.621,0.047,0.099,0.854,26.592
"2547","Tri",5,19,"C5","weeded","post_closure",5047.56,1356,2749,0.731,0.793,0.455,0.304,0.241,51.428
"2616","Mai",5,36,"C12","invaded","pre_closure",1111.39,606,1014.67,0.455,4.851,0.087,0.156,0.757,22.452
"2637","Mai",5,36,"C12","invaded","post_closure",3965.76,1331,2474.67,0.664,1.465,0.376,0.253,0.371,38.081
"2662","Mai",5,36,"C12","invaded","post_closure",4227.33,1302,2807.67,0.692,1.172,0.336,0.306,0.358,43.197
"2662","Mai",5,36,"C12","invaded","pre_closure",884.42,622,861,0.297,10.567,0.026,0.084,0.889,30.776
"2666","Mai",7,20,"C5","weeded","post_closure",4006.94,1148,2335,0.713,0.96,0.417,0.297,0.285,44.11
"2666","Mai",7,20,"C5","weeded","pre_closure",2289.41,691,1245.33,0.698,1.11,0.456,0.258,0.286,23.818
"2726","Mai",6,30,"C12","invaded","pre_closure",2557.73,766,2554.33,0.701,1.086,0.001,0.479,0.52,18.847
"2753","Mai",7,10,"C3","invaded","post_closure",3405.46,793,1849,0.767,0.481,0.457,0.367,0.176,43.344
"2776","Mai",7,10,"C3","invaded","post_closure",3685.3,1040,2075.33,0.718,0.919,0.437,0.294,0.27,42.902
"2803","Mai",5,18,"C8","invaded","pre_closure",2402.78,863,2226.67,0.641,1.735,0.073,0.339,0.588,30.847
"2886","Tri",7,24,"C8","invaded","post_closure",4055.92,1089,2189.67,0.732,0.791,0.46,0.301,0.238,44.763
"2886","Tri",7,24,"C8","invaded","pre_closure",2413.77,706,1303,0.708,1.017,0.46,0.268,0.272,32.681
"2912","Tri",5,11,"C4","invaded","post_closure",3572.85,852,1761.33,0.762,0.528,0.507,0.323,0.17,49.199
"2912","Tri",5,11,"C4","invaded","pre_closure",2973.89,811,1594,0.727,0.83,0.464,0.293,0.243,43.226
"2927","Tri",7,14,"C5","weeded","post_closure",4055.43,976,2332.33,0.759,0.547,0.425,0.372,0.203,50.022
"2927","Tri",7,14,"C5","weeded","pre_closure",1254.61,592,854.67,0.528,3.36,0.319,0.156,0.525,34.379
"2988","Tri",5,33,"C10","weeded","pre_closure",1931.9,846,1899.67,0.562,2.802,0.017,0.259,0.725,38.954
"2988","Tri",5,33,"C10","weeded","post_closure",3232,916,1637,0.717,0.93,0.494,0.262,0.244,38.642
"2996","Tri",7,14,"C5","weeded","post_closure",3927.27,1157,2116.67,0.705,1.038,0.461,0.264,0.275,51.321
"3004","Tri",5,21,"C6","weeded","post_closure",4092.6,1156,2285.33,0.718,0.921,0.442,0.291,0.268,41.542
"3043","Tri",7,24,"C8","invaded","post_closure",4155.23,1003,2210.33,0.759,0.553,0.468,0.343,0.189,51.946
"3043","Tri",7,24,"C8","invaded","post_closure",3805.67,964,1887.33,0.747,0.655,0.504,0.3,0.196,46.957
"3043","Tri",7,24,"C8","invaded","pre_closure",2023.41,646,1201.33,0.681,1.289,0.406,0.259,0.334,34.819
"3071","Tri",7,8,"C1","weeded","post_closure",4324.96,1315,2930,0.696,1.132,0.323,0.318,0.36,46.008
"3071","Tri",7,8,"C1","weeded","post_closure",3905.6,1352,2439,0.654,1.584,0.376,0.242,0.383,40.13
"3071","Tri",7,8,"C1","weeded","pre_closure",2053.21,620,1207.67,0.698,1.111,0.412,0.279,0.31,28.031
"3077","Tri",5,21,"C6","weeded","pre_closure",1608.44,621,1573,0.614,2.069,0.022,0.319,0.659,39.212
"3427","Tri",7,35,"C12","invaded","post_closure",3984.87,1242,2259,0.688,1.21,0.433,0.257,0.31,43.824
"3468","Mai",6,9,"C2","weeded","pre_closure",2285.59,726,1440,0.682,1.272,0.37,0.277,0.353,28.387
"3526","Tri",7,35,"C12","invaded","post_closure",4099.41,1377,2416.33,0.664,1.468,0.411,0.239,0.351,49.73
"3526","Tri",7,35,"C12","invaded","pre_closure",2832.89,732,1502.33,0.742,0.7,0.47,0.312,0.218,38.313
"3526","Tri",7,35,"C12","invaded","pre_closure",2972.04,781,2794,0.737,0.739,0.06,0.54,0.4,37.651
"3536","Ari",5,26,"C9","weeded","post_closure",3766.69,937,2032,0.751,0.616,0.461,0.334,0.206,38.379
"3539","Mai",7,31,"C9","weeded","post_closure",4466.44,1301,2764.33,0.709,1.006,0.381,0.309,0.31,40.559
"3539","Mai",7,31,"C9","weeded","pre_closure",759.3,561,734.67,0.261,12.806,0.032,0.07,0.897,36.112
"3563","Tri",3,4,"C3","invaded","post_closure",4755.49,1571,3075.33,0.67,1.407,0.353,0.269,0.378,49.605
"3581","Mai",7,23,"C8","invaded","pre_closure",2092.62,636,1142,0.696,1.131,0.454,0.256,0.29,29.911
"3643","Mai",3,12,"C4","invaded","post_closure",4074.64,1395,2742,0.658,1.54,0.327,0.265,0.408,37.927
"3643","Mai",3,12,"C4","invaded","pre_closure",1472.26,673,1446.67,0.543,3.109,0.017,0.239,0.743,23.822
"3665","Mai",3,30,"C12","invaded","post_closure",3784.26,867,2114,0.771,0.45,0.441,0.385,0.173,36.416
"3665","Mai",3,30,"C12","invaded","pre_closure",1313.69,614,1292,0.533,3.282,0.017,0.23,0.754,23.863
"3785","Ari",7,4,"C3","invaded","post_closure",4002.5,1036,2165,0.741,0.704,0.459,0.317,0.224,49.387
"3829","Tri",5,33,"C10","weeded","pre_closure",2318.02,843,2213.67,0.636,1.789,0.045,0.342,0.613,33.536
"3960","Mai",5,3,"C2","weeded","pre_closure",2564.06,791,1474,0.692,1.177,0.425,0.264,0.311,29.199
"3993","Mai",5,3,"C2","weeded","post_closure",3737.05,939,2004.33,0.749,0.638,0.464,0.327,0.209,37.221
"3993","Mai",5,3,"C2","weeded","pre_closure",1087.41,617,969.33,0.433,5.401,0.109,0.139,0.752,27.245
"4000","Tri",5,20,"C5","weeded","post_closure",3859.97,913,1826.67,0.763,0.512,0.527,0.313,0.16,50.546
"4000","Tri",5,20,"C5","weeded","pre_closure",931.7,601,909.67,0.355,7.869,0.024,0.11,0.866,33.293
"4061","Mai",7,15,"C6","weeded","post_closure",3817.21,866,2026.67,0.773,0.432,0.469,0.371,0.16,44.177
"4081","Tri",7,18,"C8","invaded","post_closure",3220.2,944,1642.67,0.707,1.024,0.49,0.252,0.258,47.28
"4105","Tri",5,10,"C3","invaded","post_closure",4625.61,1279,2678.33,0.723,0.865,0.421,0.31,0.269,47.241
"4105","Tri",5,10,"C3","invaded","pre_closure",2887.24,770,1494.67,0.733,0.775,0.482,0.292,0.226,41.052
"4109","Tri",5,32,"C9","weeded","post_closure",3613.94,919,1759.67,0.746,0.664,0.513,0.293,0.194,46.805
"4109","Tri",5,32,"C9","weeded","pre_closure",2768.11,842,2666.33,0.696,1.133,0.037,0.452,0.512,31.682
"4163","Ari",7,1,"C1","weeded","post_closure",4859.06,1363,3022.33,0.719,0.903,0.378,0.327,0.295,39.946
"4177","Tri",5,14,"C5","weeded","pre_closure",2783.19,840,1807.33,0.698,1.11,0.351,0.308,0.342,43.396
"4250","Mai",3,2,"C1","weeded","post_closure",3892.39,998,1983.67,0.744,0.683,0.49,0.303,0.207,46.764
"4414","Tri",5,22,"C7","invaded","post_closure",4367.51,1056,2195,0.758,0.556,0.497,0.323,0.18,52.982
"4414","Tri",5,22,"C7","invaded","pre_closure",2839.45,893,2602.33,0.686,1.239,0.084,0.409,0.507,36.54
"4431","Tri",5,23,"C8","invaded","post_closure",3326.64,866,1805,0.74,0.717,0.457,0.316,0.227,44.307
"4431","Tri",5,23,"C8","invaded","pre_closure",2638.52,854,2497,0.676,1.335,0.054,0.405,0.541,27.728
"4547","Tri",5,10,"C3","invaded","post_closure",4616.2,1344,2799,0.709,1.004,0.394,0.303,0.304,41.978
"4576","Tri",5,21,"C6","weeded","post_closure",3960.07,1153,2296.33,0.709,1.004,0.42,0.289,0.291,44.809
"4576","Tri",5,21,"C6","weeded","pre_closure",2313.16,820,2248,0.646,1.68,0.028,0.363,0.609,28.144
"4676","Mai",7,24,"C8","invaded","post_closure",3841.63,1336,2295.67,0.652,1.602,0.402,0.23,0.368,39.735
"4676","Mai",7,24,"C8","invaded","pre_closure",2435.24,652,1278.67,0.732,0.784,0.475,0.294,0.231,26.085
"4698","Mai",7,34,"C11","invaded","pre_closure",1489.64,642,1355,0.569,2.696,0.09,0.246,0.664,21.184
"4712","Tri",6,2,"C1","weeded","pre_closure",2256.52,714,1412.67,0.684,1.259,0.374,0.277,0.349,14.167
"4714","Tri",3,7,"C1","weeded","pre_closure",2691.68,852,2599,0.683,1.26,0.034,0.427,0.538,34.01
"4736","Mai",7,23,"C8","invaded","post_closure",3726,1234,2277.33,0.669,1.416,0.389,0.253,0.358,44.404
"4736","Mai",7,23,"C8","invaded","pre_closure",2450.63,648,1272.67,0.736,0.754,0.481,0.296,0.223,34.243
"4777","Tri",6,2,"C1","weeded","pre_closure",3073.84,893,1666.67,0.709,0.998,0.458,0.271,0.271,29.115
"4778","Ari",7,8,"C1","weeded","post_closure",4730.71,1604,3220.33,0.661,1.503,0.319,0.272,0.409,38.027
"4781","Mai",5,23,"C8","invaded","post_closure",3469.99,780,1723,0.775,0.415,0.503,0.351,0.146,40.433
"4781","Mai",5,23,"C8","invaded","pre_closure",918.04,524,794.67,0.429,5.489,0.134,0.133,0.732,25.577
"4802","Mai",7,30,"C12","invaded","post_closure",3319.61,1116,1934.67,0.664,1.471,0.417,0.236,0.347,39.303
"4802","Mai",7,30,"C12","invaded","pre_closure",2239.76,659,1228,0.706,1.034,0.452,0.269,0.279,24.287
"4804","Mai",7,15,"C6","weeded","post_closure",4062.33,1466,2657,0.639,1.755,0.346,0.237,0.417,42.278
"4834","Mai",7,30,"C12","invaded","post_closure",3889.44,1624,2503.33,0.582,2.498,0.356,0.184,0.46,40.191
"4834","Mai",7,30,"C12","invaded","pre_closure",829,585,777.33,0.294,10.7,0.062,0.08,0.858,26.758
"4844","Mai",7,19,"C5","weeded","post_closure",3536.12,984,1848.33,0.722,0.882,0.477,0.278,0.245,38.892
"4844","Mai",7,19,"C5","weeded","pre_closure",2229.27,680,1306.33,0.695,1.142,0.414,0.274,0.312,23.613
"4859","Mai",7,24,"C8","invaded","post_closure",3323.13,819,1851.33,0.754,0.596,0.443,0.349,0.208,39.407
"4859","Mai",7,24,"C8","invaded","pre_closure",2238.39,672,1211,0.7,1.094,0.459,0.258,0.283,28.732
"4865","Mai",7,24,"C8","invaded","post_closure",3962.94,1528,2456.33,0.614,2.062,0.38,0.202,0.417,40.498
"4865","Mai",7,24,"C8","invaded","pre_closure",2634.58,703,1404,0.733,0.776,0.467,0.3,0.233,34.615
"4871","Mai",7,19,"C5","weeded","post_closure",3629.51,904,1893.33,0.751,0.619,0.478,0.322,0.199,39.09
"4871","Mai",7,19,"C5","weeded","pre_closure",2753.69,708,1864.33,0.743,0.689,0.323,0.401,0.276,32.15
"4874","Mai",7,28,"C11","invaded","post_closure",3547.07,896,1840,0.747,0.649,0.481,0.315,0.204,43.919
"4874","Mai",7,28,"C11","invaded","pre_closure",864.43,560,731,0.352,7.977,0.154,0.094,0.751,25.984
"4883","Mai",7,35,"C12","invaded","pre_closure",790.15,546,655.67,0.309,9.913,0.17,0.076,0.754,24.176
"4934","Tri",3,23,"C8","invaded","pre_closure",3062.27,810,1828,0.735,0.755,0.403,0.34,0.257,40.006
"4942","Tri",3,27,"C10","weeded","pre_closure",3199.07,870,1818.67,0.728,0.823,0.432,0.312,0.257,42.322
"4959","Tri",5,22,"C7","invaded","post_closure",4150.01,1124,2237,0.729,0.813,0.461,0.297,0.242,47.481
"4959","Tri",5,22,"C7","invaded","pre_closure",2275.86,828,2054,0.636,1.791,0.097,0.323,0.579,26.76
"4990","Tri",5,22,"C7","invaded","post_closure",4125.97,1039,2095,0.748,0.642,0.492,0.309,0.199,51.675
"4990","Tri",5,22,"C7","invaded","pre_closure",2636.28,811,2473,0.692,1.168,0.062,0.433,0.505,26.4
"5009","Mai",6,8,"C1","weeded","pre_closure",2594.53,724,1232.67,0.721,0.889,0.525,0.252,0.224,26.747
"5015","Mai",7,20,"C5","weeded","post_closure",4136.48,1261,2508.33,0.695,1.14,0.394,0.283,0.323,48.156
"5015","Mai",7,20,"C5","weeded","pre_closure",2288.72,684,1333.33,0.701,1.08,0.417,0.28,0.302,23.958
"5030","Mai",3,24,"C8","invaded","post_closure",4091.68,1027,2637,0.749,0.635,0.356,0.394,0.25,38.827
"5030","Mai",3,24,"C8","invaded","pre_closure",2661.46,739,1399.33,0.722,0.876,0.474,0.28,0.245,25.362
"5052","Mai",5,36,"C12","invaded","post_closure",3734.62,860,1906.33,0.77,0.46,0.49,0.35,0.161,44.509
"5052","Mai",5,36,"C12","invaded","pre_closure",1160.06,624,1062.33,0.462,4.681,0.084,0.161,0.755,30.026
"5054","Ari",5,8,"C1","weeded","post_closure",3698.61,961,1964.67,0.74,0.713,0.469,0.31,0.221,40.842
"5069","Mai",3,24,"C8","invaded","post_closure",3825.85,982,2344,0.743,0.685,0.387,0.364,0.249,36.844
"5073","Mai",7,20,"C5","weeded","post_closure",4007.23,1539,2709.67,0.616,2.043,0.324,0.222,0.454,33.54
"5077","Mai",7,20,"C5","weeded","post_closure",3686.99,1267,2334.33,0.656,1.555,0.367,0.248,0.385,34.923
