"plot","subplot","composite","gm.trt","canopy","days_deployed","phosphate_ug","nitrate_ug","ammonium_ug","inorg_n_ug","phosphate_ug_day","nitrate_ug_day","ammonium_ug_day","inorg_n_ug_day"
3,1,"C1","weeded","post_closure",29,130.5,1123,0.06618134,1123.06618134,4.5,38.7241379310345,0.00228211517241379,38.7264200462069
3,1,"C1","weeded","pre_closure",41,136.6,1236.2,19.365285,1255.565285,3.33170731707317,30.1512195121951,0.472324024390244,30.6235435365854
3,2,"C1","weeded","post_closure",29,130.5,1123,0.06618134,1123.06618134,4.5,38.7241379310345,0.00228211517241379,38.7264200462069
3,2,"C1","weeded","pre_closure",41,136.6,1236.2,19.365285,1255.565285,3.33170731707317,30.1512195121951,0.472324024390244,30.6235435365854
3,3,"C2","weeded","post_closure",29,52.1,944.1,7.8139374,951.9139374,1.79655172413793,32.5551724137931,0.269446117241379,32.8246185310345
3,3,"C2","weeded","pre_closure",41,149.7,1590.2,20.3256597,1610.5256597,3.65121951219512,38.7853658536585,0.495747797560976,39.2811136512195
3,4,"C3","invaded","post_closure",29,120,1127.6,16.3278443,1143.9278443,4.13793103448276,38.8827586206896,0.563029113793103,39.4457877344827
3,4,"C3","invaded","pre_closure",41,153.7,1281.8,12.888601,1294.688601,3.74878048780488,31.2634146341463,0.314356121951219,31.5777707560976
3,5,"C4","invaded","post_closure",29,40.1,1223.4,48.979204,1272.379204,1.38275862068966,42.1862068965517,1.68893806896552,43.8751449655172
3,5,"C4","invaded","pre_closure",41,93.5,1676.9,18.0699482,1694.9699482,2.28048780487805,40.9,0.440730443902439,41.3407304439024
3,6,"C4","invaded","post_closure",29,40.1,1223.4,48.979204,1272.379204,1.38275862068966,42.1862068965517,1.68893806896552,43.8751449655172
3,6,"C4","invaded","pre_closure",41,93.5,1676.9,18.0699482,1694.9699482,2.28048780487805,40.9,0.440730443902439,41.3407304439024
3,7,"C1","weeded","pre_closure",41,136.6,1236.2,19.365285,1255.565285,3.33170731707317,30.1512195121951,0.472324024390244,30.6235435365854
3,12,"C4","invaded","post_closure",29,40.1,1223.4,48.979204,1272.379204,1.38275862068966,42.1862068965517,1.68893806896552,43.8751449655172
3,12,"C4","invaded","pre_closure",41,93.5,1676.9,18.0699482,1694.9699482,2.28048780487805,40.9,0.440730443902439,41.3407304439024
3,13,"C5","weeded","post_closure",29,122.2,1355,1.8972348,1356.8972348,4.21379310344828,46.7241379310345,0.0654218896551724,46.7895598206897
3,13,"C5","weeded","pre_closure",41,162.8,483.2,26.4896373,509.6896373,3.97073170731707,11.7853658536585,0.646088714634146,12.4314545682927
3,14,"C5","weeded","pre_closure",41,162.8,483.2,26.4896373,509.6896373,3.97073170731707,11.7853658536585,0.646088714634146,12.4314545682927
3,16,"C7","invaded","post_closure",29,128.8,164.8,6.24447499,171.04447499,4.44137931034483,5.68275862068966,0.215326723793103,5.89808534448276
3,16,"C7","invaded","pre_closure",41,142.6,1769.3,18.7176166,1788.0176166,3.4780487804878,43.1536585365854,0.456527234146341,43.6101857707317
3,17,"C8","invaded","post_closure",29,56.2,619.7,13.3397183,633.0397183,1.93793103448276,21.3689655172414,0.459990286206897,21.8289558034483
3,17,"C8","invaded","pre_closure",41,55.9,2278.5,12.5,2291,1.36341463414634,55.5731707317073,0.304878048780488,55.8780487804878
3,18,"C8","invaded","post_closure",29,56.2,619.7,13.3397183,633.0397183,1.93793103448276,21.3689655172414,0.459990286206897,21.8289558034483
3,18,"C8","invaded","pre_closure",41,55.9,2278.5,12.5,2291,1.36341463414634,55.5731707317073,0.304878048780488,55.8780487804878
3,20,"C5","weeded","post_closure",29,122.2,1355,1.8972348,1356.8972348,4.21379310344828,46.7241379310345,0.0654218896551724,46.7895598206897
3,20,"C5","weeded","pre_closure",41,162.8,483.2,26.4896373,509.6896373,3.97073170731707,11.7853658536585,0.646088714634146,12.4314545682927
3,21,"C6","weeded","post_closure",29,76.8,1220,55.4509215,1275.4509215,2.64827586206897,42.0689655172414,1.91210074137931,43.9810662586207
3,21,"C6","weeded","pre_closure",41,135.9,1744.7,16.126943,1760.826943,3.31463414634146,42.5536585365854,0.393340073170732,42.9469986097561
3,22,"C7","invaded","post_closure",29,128.8,164.8,6.24447499,171.04447499,4.44137931034483,5.68275862068966,0.215326723793103,5.89808534448276
3,22,"C7","invaded","pre_closure",41,142.6,1769.3,18.7176166,1788.0176166,3.4780487804878,43.1536585365854,0.456527234146341,43.6101857707317
3,23,"C8","invaded","pre_closure",41,55.9,2278.5,12.5,2291,1.36341463414634,55.5731707317073,0.304878048780488,55.8780487804878
3,24,"C8","invaded","post_closure",29,56.2,619.7,13.3397183,633.0397183,1.93793103448276,21.3689655172414,0.459990286206897,21.8289558034483
3,24,"C8","invaded","pre_closure",41,55.9,2278.5,12.5,2291,1.36341463414634,55.5731707317073,0.304878048780488,55.8780487804878
3,27,"C10","weeded","pre_closure",41,88.7,1239,23.2512953,1262.2512953,2.16341463414634,30.219512195122,0.567104763414634,30.7866169585366
3,30,"C12","invaded","post_closure",29,42.8,806.7,NA,NA,1.47586206896552,27.8172413793103,NA,NA
3,30,"C12","invaded","pre_closure",41,50.1,1394.4,64.1212802,1458.5212802,1.2219512195122,34.009756097561,1.56393366341463,35.5736897609756
5,2,"C1","weeded","post_closure",28,138.1,77.3,101.57758,178.87758,4.93214285714286,2.76071428571429,3.62777071428571,6.388485
5,3,"C2","weeded","post_closure",28,135.8,249.7,20.9155931,270.6155931,4.85,8.91785714285714,0.746985467857143,9.66484261071429
5,3,"C2","weeded","pre_closure",42,137.8,1806.4,17.4222798,1823.8222798,3.28095238095238,43.0095238095238,0.414816185714286,43.4243399952381
5,8,"C1","weeded","post_closure",28,138.1,77.3,101.57758,178.87758,4.93214285714286,2.76071428571429,3.62777071428571,6.388485
5,9,"C2","weeded","post_closure",28,135.8,249.7,20.9155931,270.6155931,4.85,8.91785714285714,0.746985467857143,9.66484261071429
5,9,"C2","weeded","pre_closure",42,137.8,1806.4,17.4222798,1823.8222798,3.28095238095238,43.0095238095238,0.414816185714286,43.4243399952381
5,10,"C3","invaded","post_closure",28,91.1,162.4,NA,NA,3.25357142857143,5.8,NA,NA
5,10,"C3","invaded","pre_closure",42,133.7,2084.7,14.1816143,2098.8816143,3.18333333333333,49.6357142857143,0.337657483333333,49.9733717690476
5,11,"C4","invaded","post_closure",28,79.6,184.8,1.49703546,186.29703546,2.84285714285714,6.6,0.0534655521428571,6.65346555214286
5,11,"C4","invaded","pre_closure",42,159.8,2294.1,13.0605381,2307.1605381,3.80476190476191,54.6214285714286,0.310965192857143,54.9323937642857
5,12,"C4","invaded","post_closure",28,79.6,184.8,1.49703546,186.29703546,2.84285714285714,6.6,0.0534655521428571,6.65346555214286
5,14,"C5","weeded","post_closure",28,64,150.2,4.74883595,154.94883595,2.28571428571429,5.36428571428571,0.169601283928571,5.53388699821429
5,14,"C5","weeded","pre_closure",42,129,2256.9,24.2713004,2281.1713004,3.07142857142857,53.7357142857143,0.577888104761905,54.3136023904762
