plot,subplot,composite,gm.trt,canopy,days_deployed,phosphate_ppm,nitrate_ppm
3,1,C1,weeded,post_closure,29,130.5,1123
3,1,C1,weeded,pre_closure,41,136.6,1236.2
3,2,C1,weeded,post_closure,29,130.5,1123
3,2,C1,weeded,pre_closure,41,136.6,1236.2
3,3,C2,weeded,post_closure,29,52.1,944.1
3,3,C2,weeded,pre_closure,41,149.7,1590.2
3,4,C3,invaded,post_closure,29,120,1127.6
3,4,C3,invaded,pre_closure,41,153.7,1281.8
3,5,C4,invaded,post_closure,29,40.1,1223.4
3,5,C4,invaded,pre_closure,41,93.5,1676.9
3,6,C4,invaded,post_closure,29,40.1,1223.4
3,6,C4,invaded,pre_closure,41,93.5,1676.9
3,7,C1,weeded,pre_closure,41,136.6,1236.2
3,12,C4,invaded,post_closure,29,40.1,1223.4
3,12,C4,invaded,pre_closure,41,93.5,1676.9
3,13,C5,weeded,post_closure,29,122.2,1355
3,13,C5,weeded,pre_closure,41,162.8,483.2
3,14,C5,weeded,pre_closure,41,162.8,483.2
3,16,C7,invaded,post_closure,29,128.8,164.8
3,16,C7,invaded,pre_closure,41,142.6,1769.3
3,17,C8,invaded,post_closure,29,56.2,619.7
3,17,C8,invaded,pre_closure,41,55.9,2278.5
3,18,C8,invaded,post_closure,29,56.2,619.7
3,18,C8,invaded,pre_closure,41,55.9,2278.5
3,20,C5,weeded,post_closure,29,122.2,1355
3,20,C5,weeded,pre_closure,41,162.8,483.2
3,21,C6,weeded,post_closure,29,76.8,1220
3,21,C6,weeded,pre_closure,41,135.9,1744.7
3,22,C7,invaded,post_closure,29,128.8,164.8
3,22,C7,invaded,pre_closure,41,142.6,1769.3
3,23,C8,invaded,pre_closure,41,55.9,2278.5
3,24,C8,invaded,post_closure,29,56.2,619.7
3,24,C8,invaded,pre_closure,41,55.9,2278.5
3,27,C10,weeded,pre_closure,41,88.7,1239
3,30,C12,invaded,post_closure,29,42.8,806.7
3,30,C12,invaded,pre_closure,41,50.1,1394.4
5,2,C1,weeded,post_closure,28,138.1,77.3
5,3,C2,weeded,post_closure,28,135.8,249.7
5,3,C2,weeded,pre_closure,42,137.8,1806.4
5,8,C1,weeded,post_closure,28,138.1,77.3
5,9,C2,weeded,post_closure,28,135.8,249.7
5,9,C2,weeded,pre_closure,42,137.8,1806.4
5,10,C3,invaded,post_closure,28,91.1,162.4
5,10,C3,invaded,pre_closure,42,133.7,2084.7
5,11,C4,invaded,post_closure,28,79.6,184.8
5,11,C4,invaded,pre_closure,42,159.8,2294.1
5,12,C4,invaded,post_closure,28,79.6,184.8
5,14,C5,weeded,post_closure,28,64,150.2
5,14,C5,weeded,pre_closure,42,129,2256.9
5,16,C7,invaded,post_closure,28,77.7,200
5,16,C7,invaded,pre_closure,42,109.7,3742
5,17,C8,invaded,post_closure,28,114.1,227.7
5,17,C8,invaded,pre_closure,42,123.8,1034.2
5,18,C8,invaded,pre_closure,42,123.8,1034.2
5,19,C5,weeded,post_closure,28,64,150.2
5,19,C5,weeded,pre_closure,42,129,2256.9
5,20,C5,weeded,post_closure,28,64,150.2
5,20,C5,weeded,pre_closure,42,129,2256.9
5,21,C6,weeded,post_closure,28,69.1,172.8
5,21,C6,weeded,pre_closure,42,125.9,2294.7
5,22,C7,invaded,post_closure,28,77.7,200
5,22,C7,invaded,pre_closure,42,109.7,3742
5,23,C8,invaded,post_closure,28,114.1,227.7
5,23,C8,invaded,pre_closure,42,123.8,1034.2
5,25,C9,weeded,post_closure,28,50.6,80
5,26,C9,weeded,post_closure,28,50.6,80
5,27,C10,weeded,post_closure,28,135.3,141.5
5,27,C10,weeded,pre_closure,42,117.2,2323.7
5,29,C12,invaded,post_closure,28,94.7,191.5
5,31,C9,weeded,pre_closure,42,151.6,961.4
5,32,C9,weeded,post_closure,28,50.6,80
5,32,C9,weeded,pre_closure,42,151.6,961.4
5,33,C10,weeded,post_closure,28,135.3,141.5
