id,spp,plot,subplot,gm.trt,canopy,anet,gsw,l,ci.ca,iwue,vcmax,vcmax25,jmax,jmax25,jmax.vcmax,composite,Phi2,FvP_over_FmP,SPAD,phosphate_ppm,nitrate_ppm,ammonium_ppm,inorg_n_ppm
4802,Mai,7,30,invaded,pre_closure,7.351220664,0.075345193,0.611179318,0.59532823,97.56721526,87.45842929,87.41856336,136.8876996,136.8397906,1.56534019,C12,0.452,0.706,24.287,1.117,28.775,0.197641774,28.97264177
482,Tri,5,22,invaded,pre_closure,10.61920378,0.097918285,0.648379455,0.547295663,108.4496504,124.4419422,124.5110135,193.7021208,193.7850022,1.556368363,C7,NA,NA,NA,1.097,37.42,0.764013453,38.18401345
4844,Mai,7,19,weeded,pre_closure,10.46466712,0.218365722,0.253310747,0.782200962,47.92266398,52.78205012,52.9303433,101.0237897,101.24147,1.912730274,C5,0.414,0.695,23.613,0.911,19.307,0.115932642,19.42293264
4859,Mai,7,24,invaded,pre_closure,10.92645993,0.149061119,0.377053984,0.683257591,73.3018778,70.09678458,70.2057094,125.5337771,125.6834484,1.790216914,C8,0.459,0.7,28.732,0.826,26.807,0.506457047,27.31345705
4865,Mai,7,24,invaded,pre_closure,7.355956265,0.07530835,0.622560342,0.595307932,97.67783075,84.49450594,84.84193152,138.3686294,138.8047806,1.636039847,C8,0.467,0.733,34.615,0.826,26.807,0.506457047,27.31345705
4871,Mai,7,19,weeded,pre_closure,10.89475907,0.195162921,0.28057055,0.750752362,55.82391888,56.66644501,56.58322353,105.7948128,105.6754742,1.867611415,C5,0.323,0.743,32.15,0.911,19.307,0.115932642,19.42293264
4959,Tri,5,22,invaded,pre_closure,12.50744023,0.130841998,0.615045718,0.593642967,95.59193853,131.4492969,131.5023845,208.6670987,208.7320675,1.58728732,C7,0.097,0.636,26.76,1.097,37.42,0.764013453,38.18401345
4990,Tri,5,22,invaded,pre_closure,12.07849609,0.131773586,0.585043651,0.609830186,91.66098045,118.4738525,118.5715299,202.0659757,202.1943904,1.705252438,C7,0.062,0.692,26.4,1.097,37.42,0.764013453,38.18401345
5015,Mai,7,20,weeded,pre_closure,10.16626426,0.149802918,0.35953344,0.705017547,67.86426056,63.1825037,63.20921699,115.4363869,115.4738491,1.826851441,C5,0.417,0.701,23.958,0.911,19.307,0.115932642,19.42293264
5073,Mai,7,20,weeded,pre_closure,10.84307142,0.186560044,0.301029051,0.741956714,58.12108095,60.40066595,60.36089186,113.2272809,113.1700285,1.874889933,C5,NA,NA,NA,0.911,19.307,0.115932642,19.42293264
5077,Mai,7,20,weeded,pre_closure,9.201127273,0.141935504,0.335526813,0.717968196,64.82611478,54.72421169,54.52848182,99.88707699,99.61246679,1.826796996,C5,0.464,0.714,22.037,0.911,19.307,0.115932642,19.42293264
511,Mai,3,30,invaded,pre_closure,7.560785669,0.124262387,0.276168413,0.736971967,60.84532779,40.08353351,39.95369714,72.00262,71.82541429,1.797716343,C12,0.486,0.68,23.608,0.501,13.944,0.641212802,14.5852128
5115,Tri,5,19,weeded,pre_closure,12.37349003,0.133964131,0.525998117,0.606466727,92.3642018,101.941298,102.0255551,184.9938177,185.1116768,1.814365789,C5,0.095,0.601,28.808,1.29,22.569,0.242713004,22.811713
5228,Tri,5,19,weeded,pre_closure,8.05144007,0.062371127,0.751698875,0.472707926,129.089219,132.6241794,132.6388264,202.5556221,202.5728699,1.527251676,C5,0.024,0.703,31.791,1.29,22.569,0.242713004,22.811713
543,Mai,3,30,invaded,pre_closure,7.053447862,0.137246145,0.221362448,0.773764877,51.39268474,31.87277264,31.91601956,57.39429196,57.45337621,1.80014228,C12,0.461,0.677,21.667,0.501,13.944,0.641212802,14.5852128
5479,Tri,3,21,weeded,pre_closure,11.88229882,0.133525777,0.564823176,0.610261692,88.98880117,109.4747925,109.9639215,186.8042744,187.4534095,1.704681017,C6,0.429,0.721,44.936,1.359,17.447,0.16126943,17.60826943
583,Tri,3,23,invaded,pre_closure,9.629140061,0.108066281,0.503472684,0.613797437,89.10401998,75.95074235,76.19580319,137.1127755,137.4570214,1.803997276,C8,0.358,0.698,37.9,0.559,22.785,0.125,22.91
5877,Tri,5,27,weeded,pre_closure,10.70342709,0.099290376,0.642591179,0.549342437,107.7992402,125.4894157,125.4430782,211.4695951,211.4093791,1.685301271,C10,0.139,0.742,34.217,1.172,23.237,0.394430052,23.63143005
652,Mai,7,30,invaded,pre_closure,8.225997185,0.089862942,0.50038459,0.616848343,91.53937098,74.69984127,74.28699136,126.9723091,126.4325346,1.701947168,C12,0.454,0.719,30.509,1.117,28.775,0.197641774,28.97264177
631,Mai,5,3,weeded,pre_closure,9.285244518,0.137449886,0.379407803,0.690785078,67.55367202,59.09070105,59.04316508,103.9670998,103.9036015,1.759790508,C2,0.458,0.714,29.032,1.378,18.064,0.174222798,18.2382228
6507,Tri,7,12,invaded,pre_closure,13.10288945,0.131348588,0.515349135,0.576187938,99.75660682,100.8618754,100.9169325,174.9603602,175.0330438,1.734426914,C4,0.427,0.694,39.863,0.776,19.391,0.186412128,19.57741213
682,Mai,7,23,invaded,pre_closure,19.48824075,0.153409562,NA,0.818144965,127.0340681,67.57521558,67.44309157,120.6091,120.4279427,1.785623108,C8,0.211,0.492,28.726,0.826,26.807,0.506457047,27.31345705
7574,Tri,7,12,invaded,pre_closure,13.28578143,0.151334394,0.405087411,0.622483922,87.79089194,80.25810213,80.18892988,158.6048282,158.5007481,1.976591387,C4,0.435,0.757,41.148,0.776,19.391,0.186412128,19.57741213
860,Mai,7,28,invaded,pre_closure,10.45538049,0.127718407,0.415643618,0.650069382,81.86275366,72.36746671,72.34976067,126.9405102,126.916665,1.754209881,C11,0.439,0.721,32.378,0.453,14.595,0.601683938,15.19668394
flag2_mai,Mai,5,3,weeded,pre_closure,10.82086308,0.153082789,0.332967928,0.693437138,70.68634659,60.01865531,60.1159785,106.4494324,106.5803822,1.772912708,C2,0.457,0.723,25.132,1.378,18.064,0.174222798,18.2382228
1021,Mai,3,24,invaded,pre_closure,9.43550077,0.156698312,0.256998246,0.724791336,60.21443786,43.58313884,43.69223338,76.24851191,76.39326495,1.748440376,C8,0.415,0.658,28.208,0.559,22.785,0.125,22.91
1153,Mai,7,32,weeded,pre_closure,8.134168374,0.107686801,0.401911242,0.675235286,75.53542587,56.4413479,56.35108313,98.85260749,98.73117469,1.752072351,C9,0.052,0.628,22.02,0.285,21.275,0.251943005,21.52694301
1159,Mai,7,31,weeded,pre_closure,11.48315241,0.181209419,0.312859141,0.716181989,63.36951177,58.76099297,58.68199572,106.045672,105.9361745,1.80525855,C9,0.026,0.26,27.413,0.285,21.275,0.251943005,21.52694301
1374,Tri,5,10,invaded,pre_closure,11.43326406,0.141725516,0.452437876,0.659646542,80.6718817,82.08737866,82.1428849,151.7435134,151.8226084,1.848274608,C3,0.448,0.719,39.998,1.337,20.847,0.141816143,20.98881614
141,Mai,3,13,weeded,pre_closure,11.31508766,0.164866201,0.306110014,0.695710282,68.6319427,58.59909638,58.21339601,102.5670776,102.0535876,1.753094556,C5,0.018,0.441,26.976,1.628,4.832,0.264896373,5.096896373
1647,Tri,7,11,invaded,pre_closure,3.416657407,0.097454015,0.88119072,0.698624106,35.05917542,112.8381064,112.5375991,180.4940971,180.1278915,1.600601869,C4,0.367,0.659,35.774,0.776,19.391,0.186412128,19.57741213
1669,Tri,7,11,invaded,pre_closure,14.51949119,0.173981927,0.477517831,0.636739703,83.45401985,103.3176039,103.2218954,182.7683362,182.639424,1.769386459,C4,0.477,0.702,27.742,0.776,19.391,0.186412128,19.57741213
1739,Tri,5,14,weeded,pre_closure,12.35615426,0.124491626,0.515505169,0.579474699,99.25289481,102.1128323,102.0934181,180.0984996,180.0720962,1.763797309,C5,0.443,0.684,38.83,1.29,22.569,0.242713004,22.811713
1739,Tri,5,14,weeded,pre_closure,12.35615426,0.124491626,0.515505169,0.579474699,99.25289481,102.1128323,102.0934181,180.0984996,180.0720962,1.763797309,C5,0.429,0.665,36.482,1.29,22.569,0.242713004,22.811713
1795,Tri,5,14,weeded,pre_closure,12.32494683,0.140087396,0.489343263,0.623427273,87.9804121,93.65948225,93.68573286,166.6260804,166.6620857,1.778948412,C5,0.117,0.506,35.748,1.29,22.569,0.242713004,22.811713
1817,Mai,7,32,weeded,pre_closure,13.92293903,0.250542981,0.276664022,0.742863797,55.57106,71.29365887,71.27967516,132.1350986,132.1152009,1.853476473,C9,0.208,0.482,27.091,0.285,21.275,0.251943005,21.52694301
1827,Tri,7,8,weeded,pre_closure,1.685088751,0.265677431,0.942104738,0.875731846,6.342611582,105.9221915,105.8885033,215.0789805,215.0269066,2.030691716,C1,0.476,0.755,34.562,1.394,17.481,0.038212435,17.51921244
1851,Tri,7,8,weeded,pre_closure,13.72632147,0.15115469,0.522787517,0.609478616,90.8097623,107.3404193,107.5864259,193.9563605,194.2944673,1.805938488,C1,NA,NA,NA,1.394,17.481,0.038212435,17.51921244
2131_tri,Tri,7,11,invaded,pre_closure,9.934184237,0.081273207,0.64601351,0.494911188,122.2319705,113.4316429,113.3822165,195.7448975,195.6799649,1.725843531,C4,NA,NA,NA,0.776,19.391,0.186412128,19.57741213
2268,Mai,3,18,invaded,pre_closure,10.53298045,0.182500348,0.285767572,0.739833469,57.71485132,53.76420037,53.87589452,99.24644377,99.40283839,1.845033652,C8,0.401,0.651,26.272,0.559,22.785,0.125,22.91
2289,Tri,7,11,invaded,pre_closure,15.03946649,0.16171153,0.532958053,0.59852682,93.00181929,118.8708114,118.8901462,201.5375326,201.5624834,1.695367445,C4,NA,NA,NA,0.776,19.391,0.186412128,19.57741213
2310,Mai,3,4,invaded,pre_closure,8.566985343,0.121472262,0.344327089,0.693357366,70.52626832,47.39407384,47.33755576,81.70207889,81.62809911,1.724383479,C3,0.137,0.685,25.782,1.537,12.818,0.12888601,12.94688601
2329,Tri,3,20,weeded,pre_closure,11.30115501,0.113373987,0.62005828,0.569070668,99.68031741,117.014535,116.9557321,185.3633611,185.2907723,1.58428124,C5,0.509,0.72,45.757,1.628,4.832,0.264896373,5.096896373
235,Mai,7,34,invaded,pre_closure,9.561452037,0.115646947,0.46735051,0.648361112,82.67794598,65.89531288,65.83348028,105.9910398,105.9146635,1.60882674,C11,0.114,0.669,28.059,0.453,14.595,0.601683938,15.19668394
2546,Mai,7,33,weeded,pre_closure,6.417388368,0.060805529,0.68977781,0.565496512,105.5395533,86.83274609,86.56271607,120.5703355,120.2821799,1.38953796,C10,0.047,0.337,26.592,0.632,3.076,0.724775785,3.800775785
2563,Tri,5,16,invaded,pre_closure,13.10096192,0.12722373,0.546133708,0.563632646,102.9757728,109.3055293,109.4244442,201.4241627,201.5930568,1.842303686,C7,NA,NA,NA,1.097,37.42,0.764013453,38.18401345
2573,Tri,5,31,weeded,pre_closure,11.41146449,0.149786527,0.424844306,0.671147902,76.18485266,77.96586779,78.08820961,143.0216518,143.1945959,1.833754373,C9,NA,NA,NA,1.516,9.614,0.181053812,9.795053812
2616,Mai,5,36,invaded,pre_closure,5.4085162,0.155748083,0.628776277,0.739753366,34.7260531,51.51147408,51.78880308,90.61610655,90.98578108,1.756862018,C12,0.087,0.455,22.452,1.492,27.185,0.130605381,27.31560538
2662,Mai,5,36,invaded,pre_closure,10.72873643,0.156451357,0.354730289,0.689550981,68.57554089,60.02358485,60.03763977,106.5307552,106.5496875,1.774714793,C12,0.026,0.297,30.776,1.492,27.185,0.130605381,27.31560538
2912,Tri,5,11,invaded,pre_closure,14.8357365,0.195182574,0.446500642,0.67228535,76.00953403,103.7264371,103.7839299,194.3038714,194.3868944,1.872996085,C4,0.464,0.727,43.226,1.598,22.941,0.130605381,23.07160538
2927,Tri,7,14,weeded,pre_closure,13.39094691,0.15014503,0.520513944,0.616519445,89.18674771,104.9072278,104.9140179,176.7319799,176.7406867,1.684624136,C5,0.319,0.528,34.379,0.911,19.307,0.115932642,19.42293264
2996,Tri,7,14,weeded,pre_closure,8.980399826,0.079476916,0.630072991,0.531923135,112.9938135,98.72763109,98.62935977,168.1388071,168.0113738,1.703462075,C5,NA,NA,NA,0.911,19.307,0.115932642,19.42293264
3071,Tri,7,8,weeded,pre_closure,14.98949048,0.161360894,0.525026387,0.598829543,92.89419579,117.1142124,117.2278022,207.3447221,207.497751,1.770038738,C1,0.412,0.698,28.031,1.394,17.481,0.038212435,17.51921244
3427,Tri,7,35,invaded,pre_closure,9.459114046,0.108760238,0.53932013,0.631812362,86.97217126,78.58596218,77.78595961,135.8754484,134.81904,1.733205332,C12,NA,NA,NA,1.117,28.775,0.197641774,28.97264177
3539,Mai,7,31,weeded,pre_closure,4.341236727,0.209049894,0.770457742,0.790107587,20.76651006,69.09850335,69.02277631,128.4009451,128.2928762,1.858703504,C9,0.032,0.261,36.112,0.285,21.275,0.251943005,21.52694301
3643,Mai,3,12,invaded,pre_closure,9.786999265,0.209068955,0.226495822,0.783075385,46.81230298,45.76193059,45.60619623,81.83569698,81.62408287,1.789758621,C4,0.017,0.543,23.822,0.935,16.769,0.180699482,16.94969948
4105,Tri,5,10,invaded,pre_closure,13.47562771,0.155224021,0.50901413,0.626041906,86.81406153,105.7047583,105.708391,188.9629788,188.9679859,1.787634681,C3,0.482,0.733,41.052,1.337,20.847,0.141816143,20.98881614
4177,Tri,5,14,weeded,pre_closure,12.1739109,0.122523321,0.521592329,0.579410854,99.35994879,102.1128323,101.9303472,180.0984996,179.8501752,1.764441898,C5,0.351,0.698,43.396,1.29,22.569,0.242713004,22.811713
42,Mai,7,36,invaded,pre_closure,9.957399663,0.10983631,0.455413802,0.616718913,90.65672056,71.68673092,71.85597764,120.4190666,120.637141,1.678874117,C12,0.03,0.388,27.723,1.117,28.775,0.197641774,28.97264177
4250,Mai,3,2,weeded,pre_closure,12.21542417,0.206249216,0.282869803,0.730728057,59.22652414,60.26847388,60.0938655,105.9554275,105.7222161,1.759284666,C1,NA,NA,NA,1.366,12.362,0.19365285,12.55565285
43,Tri,5,9,weeded,pre_closure,13.09090347,0.153907765,0.398090981,0.633697952,85.05680964,75.9288314,75.96554967,147.6158189,147.6708505,1.943918673,C2,0.388,0.727,37.513,1.378,18.064,0.174222798,18.2382228
4547,Tri,5,10,invaded,pre_closure,14.8946045,0.175749399,0.484875558,0.631659834,84.74910631,105.5983571,105.5470893,184.8492908,184.780082,1.750688562,C3,NA,NA,NA,1.337,20.847,0.141816143,20.98881614
4781,Mai,5,23,invaded,pre_closure,10.30739841,0.16619658,0.291831536,0.715693611,62.01931718,52.1564944,52.19412798,93.73236677,93.78368965,1.796824533,C8,0.134,0.429,25.577,1.238,10.342,0.102979275,10.44497928
4834,Mai,7,30,invaded,pre_closure,9.269212474,0.1019603,0.470970678,0.616898462,90.9100157,71.74398858,71.76031337,121.4854387,121.5066582,1.693229203,C12,0.062,0.294,26.758,1.117,28.775,0.197641774,28.97264177
4874,Mai,7,28,invaded,pre_closure,5.363233632,0.047323408,0.637213656,0.537855495,113.3315173,64.75462903,64.75312574,106.8440326,106.8421284,1.649991829,C11,0.154,0.352,25.984,0.453,14.595,0.601683938,15.19668394
4883,Mai,7,35,invaded,pre_closure,10.11377935,0.122718076,0.477356549,0.648471589,82.41474834,76.41826595,76.41412279,124.1074895,124.1023238,1.624075751,C12,0.17,0.309,24.176,1.117,28.775,0.197641774,28.97264177
4934,Tri,3,23,invaded,pre_closure,20.78881586,0.15570227,NA,0.670335743,133.5164597,72.82247604,72.64908318,136.1449044,135.8921028,1.87052743,C8,0.403,0.735,40.006,0.559,22.785,0.125,22.91
4942,Tri,3,27,weeded,pre_closure,13.85380139,0.155266711,0.441531743,0.616046886,89.22583148,82.79262365,82.8562148,158.6738513,158.7687759,1.916196344,C10,0.432,0.728,42.322,0.887,12.39,0.232512953,12.62251295
5030,Mai,3,24,invaded,pre_closure,9.232821255,0.139375777,0.308757679,0.704946031,66.24408813,47.6909891,47.93880019,80.56273442,80.87995888,1.687150253,C8,0.474,0.722,25.362,0.559,22.785,0.125,22.91
5052,Mai,5,36,invaded,pre_closure,10.75396205,0.182379424,0.290974116,0.72617844,58.96477691,53.95804579,53.64907301,100.2602015,99.82364781,1.860677962,C12,0.084,0.462,30.026,1.492,27.185,0.130605381,27.31560538
5069,Mai,3,24,invaded,pre_closure,21.26943664,0.328069752,0.026854326,0.774709256,64.83205632,75.63788637,75.7067089,141.073109,141.1705102,1.864702775,C8,NA,NA,NA,0.559,22.785,0.125,22.91
