id,spp,plot,subplot,gm.trt,canopy,anet,gsw,l,ci.ca,iwue,vcmax,vcmax25,jmax,jmax25,jmax.vcmax,composite,Phi2,FvP_over_FmP,SPAD,phosphate_ppm,nitrate_ppm,ammonium_ppm,inorg_n_ppm
1926,Tri,3,5,invaded,pre_closure,11.83860636,0.148474062,0.525426429,0.656702587,79.73518203,82.79262365,83.2539432,158.6738513,159.361187,1.914157827,C4,0.052,0.71,31.842,0.935,16.769,0.180699482,16.94969948
5495,Tri,3,3,weeded,pre_closure,15.82502038,0.249590615,0.314303355,0.714524262,63.40390796,85.47769381,85.80562061,176.1328761,176.6585425,2.058822501,C2,0.081,0.717,33.625,1.497,15.902,0.203256597,16.1052566
552,Tri,3,14,weeded,pre_closure,13.08396858,0.16532543,0.37524756,0.656420811,79.14068985,77.65839556,77.6522931,147.7796134,147.7705655,1.902977486,C5,0.07,0.727,30.047,1.628,4.832,0.264896373,5.096896373
916,Tri,3,16,invaded,pre_closure,14.87148345,0.177952393,0.414067159,0.636455796,83.57001105,93.63943406,93.9239318,172.5810364,172.9890682,1.841799687,C7,0.01,0.722,32.157,1.426,17.693,0.187176166,17.88017617
1686,Tri,3,6,invaded,pre_closure,14.05270869,0.144608857,0.41038848,0.592885741,97.17737199,85.55836213,85.84308686,154.11081,154.5098602,1.799910347,C4,0.008,0.704,34.106,0.935,16.769,0.180699482,16.94969948
2416,Tri,3,17,invaded,pre_closure,13.18355301,0.152416776,0.473172459,0.626184461,86.4967319,88.14985876,88.64841439,146.8610369,147.5067474,1.663952462,C8,0.052,0.719,34.938,0.559,22.785,0.125,22.91
3563,Tri,3,4,invaded,pre_closure,11.79064329,0.14435188,0.452304743,0.647266196,81.67987345,72.57899192,73.73523993,132.4340057,134.0677897,1.81823223,C3,NA,NA,NA,1.537,12.818,0.12888601,12.94688601
4714,Tri,3,7,weeded,pre_closure,13.78498817,0.182451938,0.348781052,0.667324699,75.55407918,75.93027493,75.82886784,143.2944065,143.1452255,1.887740508,C1,0.034,0.683,34.01,1.366,12.362,0.19365285,12.55565285
5488,Tri,3,1,weeded,pre_closure,13.17314056,0.132422625,0.463379258,0.575686698,99.47802016,84.12996128,85.56721422,172.2072085,174.4844263,2.039150484,C1,0.065,0.658,35.715,1.366,12.362,0.19365285,12.55565285
6578,Tri,3,1,weeded,pre_closure,12.229702,0.129464452,0.428025032,0.59652232,94.46378377,74.2005965,74.49567547,137.8472124,138.2736454,1.856129829,C1,NA,NA,NA,1.366,12.362,0.19365285,12.55565285
902,Tri,3,7,weeded,pre_closure,15.63029543,0.188616508,0.443229422,0.635616199,82.86812006,100.1558336,100.0209491,176.0182644,175.8334753,1.757966474,C1,0.096,0.669,29.353,1.366,12.362,0.19365285,12.55565285
1157,Mai,3,30,invaded,pre_closure,8.970671885,0.161492435,0.237282927,0.7545181,55.54855796,42.39775164,42.09955691,76.02558599,75.61881955,1.79619039,C12,0.449,0.677,23.793,0.501,13.944,0.641212802,14.5852128
1240,Mai,7,21,weeded,pre_closure,11.01176218,0.208843531,0.29336462,0.762603197,52.72733193,63.91138773,63.73415164,121.9169844,121.6571812,1.908822477,C6,0.439,0.697,32.382,0.564,23.505,NA,NA
1264,Mai,7,21,weeded,pre_closure,10.82726997,0.199343102,0.318335313,0.756656801,54.31474609,66.64650774,66.70397521,138.4457223,138.5373396,2.076897804,C6,0.41,0.683,27.386,0.564,23.505,NA,NA
1432,Mai,5,17,invaded,pre_closure,9.247133758,0.126158161,0.378698606,0.685682548,73.29794351,57.88157059,58.29785482,103.9365883,104.5026956,1.792565025,C8,0.423,0.693,28.536,1.238,10.342,0.102979275,10.44497928
1499,Mai,5,17,invaded,pre_closure,9.422513843,0.153379542,0.292696657,0.731160253,61.43266384,51.00755541,50.79984249,93.48772161,93.19838849,1.834619635,C8,0.433,0.691,25.408,1.238,10.342,0.102979275,10.44497928
1663,Mai,3,30,invaded,pre_closure,5.831230438,0.079690377,0.317640197,0.692794118,73.17358328,31.57485016,31.66648536,55.09174608,55.21299147,1.743578135,C12,0.464,0.698,27.009,0.501,13.944,0.641212802,14.5852128
179,Mai,3,30,invaded,pre_closure,11.90789853,0.184430619,0.348559575,0.716747314,64.56573531,72.6242383,73.11305023,137.056986,137.7557067,1.884146624,C12,0.474,0.685,29.412,0.501,13.944,0.641212802,14.5852128
3665,Mai,3,30,invaded,pre_closure,10.69930571,0.218064461,0.22429501,0.77782684,49.06487587,48.97935281,49.18876702,89.16360373,89.45257373,1.818556942,C12,0.017,0.533,23.863,0.501,13.944,0.641212802,14.5852128
1975,Tri,7,18,invaded,pre_closure,10.88587845,0.098832521,0.746468381,0.54024625,110.1447008,177.0592754,177.464688,260.3942046,260.8477039,1.469856943,C8,NA,NA,NA,0.826,26.807,0.506457047,27.31345705
1997,Tri,7,24,invaded,pre_closure,13.6474419,0.147222405,0.480995094,0.602625013,92.69949027,100.5607745,100.2975609,190.2555398,189.8761607,1.893128398,C8,0.375,0.698,34.146,0.826,26.807,0.506457047,27.31345705
2131_mai,Mai,3,30,invaded,pre_closure,10.44474996,0.153847259,0.316819778,0.705860921,67.89038705,56.81178391,56.91908348,107.000167,107.1534659,1.882557824,C12,NA,NA,NA,0.501,13.944,0.641212802,14.5852128
2265,Mai,7,23,invaded,pre_closure,9.878212792,0.147649817,0.382019474,0.692655184,66.90298026,65.96220011,65.90896703,116.8291076,116.7567068,1.771484398,C8,0.381,0.664,25.571,0.826,26.807,0.506457047,27.31345705
2285,Mai,7,23,invaded,pre_closure,10.01741015,0.12995275,0.400302308,0.669999395,77.08501859,68.61624639,68.67515897,123.6413219,123.7227921,1.801565427,C8,0.46,0.707,24.012,0.826,26.807,0.506457047,27.31345705
2337,Mai,3,22,invaded,pre_closure,7.417571292,0.14711737,0.251885173,0.776753443,50.41941201,37.33806581,37.40195249,67.47347277,67.56105399,1.806350992,C7,0.429,0.694,23.521,1.426,17.693,0.187176166,17.88017617
2337,Mai,3,22,invaded,pre_closure,7.417571292,0.14711737,0.251885173,0.776753443,50.41941201,37.33806581,37.40195249,67.47347277,67.56105399,1.806350992,C7,0.547,0.729,24.929,1.426,17.693,0.187176166,17.88017617
2379,Tri,7,23,invaded,pre_closure,12.28291562,0.140562986,0.475550452,0.62324741,87.38371295,94.9903454,93.57058374,176.3642362,174.3477575,1.8632753,C8,0.448,0.737,35.365,0.826,26.807,0.506457047,27.31345705
2382,Tri,7,23,invaded,pre_closure,11.60912672,0.119116337,0.559388065,0.585113221,97.4604073,108.909753,106.3587305,190.0450569,186.6297012,1.75471915,C8,NA,NA,NA,0.826,26.807,0.506457047,27.31345705
2508,Tri,5,21,weeded,pre_closure,11.57615661,0.1142837,0.655813411,0.573206888,101.2931556,147.5240879,147.5571213,233.9751622,234.015555,1.585931963,C6,0.054,0.653,31.529,1.259,22.947,0.012352611,22.95935261
2547,Tri,5,19,weeded,pre_closure,12.99489428,0.148668518,0.424392178,0.624742783,87.40851429,83.77598585,83.73754698,166.2873429,166.2285044,1.985113134,C5,NA,NA,NA,1.29,22.569,0.242713004,22.811713
2666,Mai,7,20,weeded,pre_closure,10.51541549,0.158485379,0.342631961,0.710622854,66.34943587,61.29672789,61.61275395,115.7294251,116.186661,1.885756658,C5,0.456,0.698,23.818,0.911,19.307,0.115932642,19.42293264
2886,Tri,7,24,invaded,pre_closure,10.8358556,0.123425719,0.491870219,0.626703866,87.79252564,87.08865763,86.99346507,147.3423614,147.2197277,1.692307895,C8,0.46,0.708,32.681,0.826,26.807,0.506457047,27.31345705
2988,Tri,5,33,weeded,pre_closure,13.10648159,0.133841194,0.607418008,0.583633192,97.92561765,135.8160871,135.9529397,220.7510991,220.9225446,1.624992774,C10,0.017,0.562,38.954,1.172,23.237,0.394430052,23.63143005
3004,Tri,5,21,weeded,pre_closure,12.10690556,0.128637614,0.5487068,0.600160623,94.11637221,105.8697717,106.2523123,183.473868,183.984367,1.731579888,C6,NA,NA,NA,1.259,22.947,0.012352611,22.95935261
3043,Tri,7,24,invaded,pre_closure,6.493201908,0.097623913,0.802052359,0.612341107,66.51241185,139.5631883,131.3307695,210.0972802,200.4565518,1.526348718,C8,0.406,0.681,34.819,0.826,26.807,0.506457047,27.31345705
3077,Tri,5,21,weeded,pre_closure,12.66787838,0.136217622,0.651189763,0.603391288,92.99735375,157.0450711,157.13701,254.8764488,254.9914737,1.622733395,C6,0.022,0.614,39.212,1.259,22.947,0.012352611,22.95935261
3526,Tri,7,35,invaded,pre_closure,13.10470354,0.15075639,0.543381557,0.623713138,86.92635543,114.3983294,114.5101797,196.0103975,196.1562273,1.713002528,C12,0.47,0.742,38.313,1.117,28.775,0.197641774,28.97264177
3526,Tri,7,35,invaded,pre_closure,13.10470354,0.15075639,0.543381557,0.623713138,86.92635543,114.3983294,114.5101797,196.0103975,196.1562273,1.713002528,C12,0.06,0.737,37.651,1.117,28.775,0.197641774,28.97264177
3581,Mai,7,23,invaded,pre_closure,9.256708301,0.121716506,0.425683936,0.674858968,76.05138042,68.41487609,68.62976345,122.9072053,123.2032442,1.795186781,C8,0.454,0.696,29.911,0.826,26.807,0.506457047,27.31345705
3960,Mai,5,3,weeded,pre_closure,10.41522693,0.17474168,0.304890391,0.736673852,59.60356413,56.37548089,56.49208239,108.7155386,108.8860983,1.927457684,C2,0.425,0.692,29.199,1.378,18.064,0.174222798,18.2382228
3993,Mai,5,3,weeded,pre_closure,4.106476716,0.152641796,0.739470721,0.758608331,26.90270177,58.10031747,57.86544684,101.3899045,101.0784065,1.746783478,C2,0.109,0.433,27.245,1.378,18.064,0.174222798,18.2382228
4000,Tri,5,20,weeded,pre_closure,13.4198004,0.132360944,0.564698698,0.569258093,101.387917,123.5856048,123.1582892,221.4196806,220.8286294,1.793047231,C5,0.024,0.355,33.293,1.29,22.569,0.242713004,22.811713
4081,Tri,7,18,invaded,pre_closure,12.85478286,0.144540319,0.527004818,0.608132424,88.93561983,105.1035976,105.1726886,180.4167756,180.5070316,1.716291881,C8,NA,NA,NA,0.826,26.807,0.506457047,27.31345705
4109,Tri,5,32,weeded,pre_closure,12.95343851,0.126199758,0.599871477,0.565306001,102.6423403,128.8780049,129.0255202,220.559029,220.7536022,1.710929759,C9,0.037,0.696,31.682,1.516,9.614,0.181053812,9.795053812
4414,Tri,5,22,invaded,pre_closure,14.54540431,0.177795274,0.474941839,0.643894766,81.80984783,106.8486915,106.823619,201.5722225,201.5357492,1.886621621,C7,0.084,0.686,36.54,1.097,37.42,0.764013453,38.18401345
4431,Tri,5,23,invaded,pre_closure,9.816215502,0.103144864,0.580861702,0.600303246,95.16921271,100.5163292,100.6040903,170.7687551,170.8836805,1.698575873,C8,0.054,0.676,27.728,1.238,10.342,0.102979275,10.44497928
4576,Tri,5,21,weeded,pre_closure,10.46039928,0.098526445,0.680569653,0.55649893,106.1684432,140.1044671,140.0975573,217.2493293,217.2410679,1.550641368,C6,0.028,0.646,28.144,1.259,22.947,0.012352611,22.95935261
4676,Mai,7,24,invaded,pre_closure,9.399316346,0.113101554,0.426139992,0.647356813,83.10510345,67.14410473,66.95784612,116.763339,116.514441,1.740116323,C8,0.475,0.732,26.085,0.826,26.807,0.506457047,27.31345705
