"id","spp","plot","subplot","gm.trt","canopy","anet","gsw","l","ci.ca","iwue","vcmax","vcmax25","jmax","jmax25","jmax.vcmax"
"1926","Tri",3,5,"invaded","pre_closure",11.83860636,0.148474062,0.525426428679005,0.65670258732626,79.7351820279558,82.7926236450127,83.3849734322377,158.67385128635,159.475646869871,1.91252260815874
"5495","Tri",3,3,"weeded","pre_closure",15.82502038,0.249590615,0.314303355304101,0.714524262356563,63.4039079554333,85.4776938116299,85.89917726364,176.132876076947,176.746487923748,2.05760396727993
"552","Tri",3,14,"weeded","pre_closure",13.08396858,0.16532543,0.375247560112753,0.656420810923123,79.1406898503152,77.6583955637309,77.6505342672179,147.779613353598,147.769035567668,1.90300088675697
"916","Tri",3,16,"invaded","pre_closure",14.87148345,0.177952393,0.414067158512037,0.636455795721255,83.5700110534619,93.6394340576899,94.0052653917,172.581036437621,173.057480258828,1.84093390447582
"1686","Tri",3,6,"invaded","pre_closure",14.05270869,0.144608857,0.410388480311028,0.592885741020042,97.1773719918137,85.5583621293281,85.924424523029,154.110809989117,154.576714069056,1.7989845719319
"2416","Tri",3,17,"invaded","pre_closure",13.18355301,0.152416776,0.473172458804359,0.62618446116725,86.4967318951819,88.1498587590239,88.7899907255082,146.861036864223,147.614251541413,1.6625100457298
"3563","Tri",3,4,"invaded","pre_closure",11.79064329,0.14435188,0.45230474283571,0.647266196453958,81.6798734453614,72.5789919182073,74.055353449656,132.434005709772,134.332654083998,1.81394926668359
"4714","Tri",3,7,"weeded","pre_closure",13.78498817,0.182451938,0.348781051997044,0.66732469856721,75.5540791789233,75.930274930972,75.7995432758101,143.294406524325,143.119911891844,1.88813686345149
"5488","Tri",3,1,"weeded","pre_closure",13.17314056,0.132422625,0.463379257884382,0.575686697767626,99.4780201646056,84.1299612837752,85.9640295025181,172.207208451023,174.852534927868,2.03401976314693
"6578","Tri",3,1,"weeded","pre_closure",12.229702,0.129464452,0.428025032001811,0.596522320000455,94.4637837728614,74.2005964988572,74.579830357008,137.847212418061,138.344961892211,1.85499164090297
"902","Tri",3,7,"weeded","pre_closure",15.63029543,0.188616508,0.443229421908239,0.635616199035725,82.8681200587172,100.155833582722,99.981942510613,176.018264374867,175.802118564304,1.75833869746672
"583","Tri",3,23,"invaded","pre_closure",9.629140061,0.108066281,0.503472684422401,0.613797437392994,89.1040199764069,75.9507423519896,76.2658283145072,137.112775539806,137.514709510385,1.8030973051692
"5479","Tri",3,21,"weeded","pre_closure",11.88229882,0.133525777,0.56482317555943,0.610261691642914,88.988801166085,109.474792494545,110.103242749666,186.804274372581,187.56182753232,1.70350866012881
"43","Tri",5,9,"weeded","pre_closure",13.09090347,0.153907765,0.398090980976357,0.633697952167191,85.0568096418007,75.9288313998143,75.9726616633056,147.615818899181,147.677113337915,1.94381913315593
"86","Tri",5,9,"weeded","pre_closure",11.54586785,0.158067323,0.338749123462726,0.682986004776944,73.0439893006855,63.328181579966,63.2795328637354,124.980732822787,124.911653353537,1.97396611037757
"7147","Tri",5,9,"weeded","pre_closure",14.47001673,0.155405019,0.452139116795649,0.599673986580379,93.1116435177682,97.28755681066,97.3569776905401,189.008964026343,189.105975882681,1.94239776509677
"2547","Tri",5,19,"weeded","pre_closure",12.99489428,0.148668518,0.424392177955764,0.624742783041958,87.408514289488,83.7759858465311,83.7300841166257,166.287342924807,166.221791503437,1.98520989507082
"5904","Tri",5,9,"weeded","pre_closure",14.53834818,0.201105713,0.379545819146292,0.681269052238922,72.2920694948134,86.5243391321166,86.542215833429,173.004378132954,173.030091413349,1.99937209542203
"5228","Tri",5,19,"weeded","pre_closure",8.05144007,0.062371127,0.751698874707813,0.472707925642096,129.089218958638,132.624179403184,132.64166606436,202.555622132161,202.574834723182,1.52723379262207
"5381","Tri",5,10,"invaded","pre_closure",15.17961154,0.159310952,0.530952480058757,0.589588783205211,95.2829127529161,117.773597187506,117.901984622475,211.231582240028,211.397201969696,1.79299103951977
"5115","Tri",5,19,"weeded","pre_closure",12.37349003,0.133964131,0.525998117049265,0.60646672736288,92.3642018026452,101.941298020866,102.041860937326,184.993817684452,185.125077585509,1.81420718796193
"4547","Tri",5,10,"invaded","pre_closure",14.8946045,0.175749399,0.484875558334112,0.631659833728379,84.7491063113109,105.598357081558,105.53713504045,184.849290822921,184.772185480779,1.75077886480394
"4105","Tri",5,10,"invaded","pre_closure",13.47562771,0.155224021,0.509014129554135,0.626041905975825,86.8140615298195,105.704758293174,105.709095401962,188.962978765889,188.968556366714,1.78762816622501
"4000","Tri",5,20,"weeded","pre_closure",13.4198004,0.132360944,0.564698698170502,0.56925809257687,101.38791696741,123.585604823154,123.07469289694,221.419680568178,220.760652695119,1.79371280560479
"1374","Tri",5,10,"invaded","pre_closure",11.43326406,0.141725516,0.452437876415855,0.659646541668925,80.671881695601,82.0873786611337,82.1536307751526,151.743513415671,151.83160519741,1.84814236163171
"3077","Tri",5,21,"weeded","pre_closure",12.66787838,0.136217622,0.651189763387788,0.603391287935427,92.9973537491353,157.045071134302,157.154813147961,254.876448800582,255.004560600476,1.62263283887074
"2912","Tri",5,11,"invaded","pre_closure",14.8357365,0.195182574,0.44650064227617,0.672285350229637,76.0095340273564,103.726437067757,103.795063806804,194.303871426815,194.396341079218,1.87288618504106
"4576","Tri",5,21,"weeded","pre_closure",10.46039928,0.098526445,0.680569653450181,0.5564989296536,106.168443203244,140.104467070714,140.096217184527,217.249329332221,217.240126371514,1.55064948031664
"614","Tri",5,11,"invaded","pre_closure",14.02064582,0.166233808,0.499024457641966,0.634881819987763,84.3429263197773,105.276278914787,105.567271293861,186.33368855981,186.704014085596,1.76857857361757
"2508","Tri",5,21,"weeded","pre_closure",11.57615661,0.1142837,0.655813411444643,0.573206888223475,101.293155629368,147.524087910967,147.563523720774,233.975162172425,234.020155062003,1.5858943264653
"2563","Tri",5,16,"invaded","pre_closure",13.10096192,0.12722373,0.546133707759455,0.563632646201603,102.975772837347,109.305529255816,109.447442148628,201.42416268598,201.612247102663,1.84209190406548
"3004","Tri",5,21,"weeded","pre_closure",12.10690556,0.128637614,0.548706799669817,0.600160622770472,94.1163722144287,105.869771735578,106.325834347334,183.473867983602,184.041989673488,1.7309244813662
"flag_8","Tri",5,16,"invaded","pre_closure",12.33999092,0.123349028,0.543406935631126,0.576386204844925,100.041249777826,104.510435789673,104.346314173527,189.065833154543,188.85217628766,1.80985957945387
"482","Tri",5,22,"invaded","pre_closure",10.61920378,0.097918285,0.648379454955319,0.547295662833697,108.449650440671,124.441942246984,124.524389524765,193.702120848013,193.794432752017,1.55627691484066
"1795","Tri",5,14,"weeded","pre_closure",12.32494683,0.140087396,0.489343263219644,0.623427272890348,87.9804120993155,93.6594822540188,93.6908199428724,166.626080425675,166.666185466107,1.77889557982022
"4990","Tri",5,22,"invaded","pre_closure",12.07849609,0.131773586,0.585043650954374,0.609830186439485,91.6609804486917,118.473852533944,118.590432999973,202.065975710419,202.208991447027,1.70510374514842
"4177","Tri",5,14,"weeded","pre_closure",12.1739109,0.122523321,0.521592328631438,0.579410854108091,99.3599487888514,102.112832340967,101.894798888154,180.09849956493,179.82174348265,1.76477843270522
"4414","Tri",5,22,"invaded","pre_closure",14.54540431,0.177795274,0.474941838843582,0.643894765987644,81.809847825314,106.848691472459,106.818753928186,201.57222254548,201.531590469084,1.88666861443238
"4959","Tri",5,22,"invaded","pre_closure",12.50744023,0.130841998,0.61504571802961,0.593642966751612,95.5919385303181,131.449296929781,131.51266915236,208.667098732454,208.739462851996,1.58721942302127
"1739","Tri",5,14,"weeded","pre_closure",12.35615426,0.124491626,0.515505169492145,0.579474698728193,99.2528948091657,102.112832340967,102.089651447293,180.09849956493,180.069086049318,1.76383290075473
"4431","Tri",5,23,"invaded","pre_closure",9.816215502,0.103144864,0.580861701663151,0.600303246432907,95.1692127103876,100.516329223002,100.621072244225,170.768755092907,170.896746106219,1.6984190517412
"2573","Tri",5,31,"weeded","pre_closure",11.41146449,0.149786527,0.424844306264324,0.6711479015495,76.1848526603464,77.9658677904848,78.111842051973,143.021651789997,143.214221481057,1.83345082792654
"5877","Tri",5,27,"weeded","pre_closure",10.70342709,0.099290376,0.642591179385,0.549342437385936,107.799240180136,125.489415729028,125.434083852297,211.469595074316,211.402510782433,1.68536736020941
"flag3_tri","Tri",5,14,"weeded","pre_closure",11.79445672,0.124648669,0.519898164965372,0.598525877679897,94.6216017757879,95.3798565768767,95.4124221349099,164.613141097572,164.653571360667,1.72570371526521
"2988","Tri",5,33,"weeded","pre_closure",13.10648159,0.133841194,0.607418007612865,0.583633191991588,97.9256176540087,135.816087113005,135.979412158197,220.751099114064,220.94202896959,1.62481970956418
"4109","Tri",5,32,"weeded","pre_closure",12.95343851,0.126199758,0.599871477169343,0.565306000980098,102.642340328418,128.878004883799,129.054045484919,220.559028961344,220.775706976115,1.71072286921771
"1975","Tri",7,18,"invaded","pre_closure",10.88587845,0.098832521,0.746468381173489,0.540246249552059,110.144700750879,177.059275378381,177.524994485681,260.394204642533,260.887959054597,1.46958438055685
"1997","Tri",7,24,"invaded","pre_closure",13.6474419,0.147222405,0.480995093802533,0.602625013287664,92.6994902711989,100.560774511928,100.257950625794,190.25553975771,189.842064421366,1.89353625559272
"632","Tri",7,8,"weeded","pre_closure",13.29474027,0.152281629,0.431613382294329,0.623749483720157,87.3036383791245,83.7171564136677,83.7328089999249,151.104644158392,151.125020662508,1.80484833206352
"7574","Tri",7,12,"invaded","pre_closure",13.28578143,0.151334394,0.40508741095255,0.622483921737477,87.7908919369644,80.2581021274198,80.1785637830484,158.60482816529,158.4914358014,1.97673079091632
"1827","Tri",7,8,"weeded","pre_closure",18.62488346,0.266935549,0.361717874629689,0.684422192293441,69.7729602886276,105.922191531091,106.137761784279,215.078980509232,215.394571241964,2.02938678582411
"1851","Tri",7,8,"weeded","pre_closure",13.72632147,0.15115469,0.522787516824588,0.609478616372231,90.8097623037697,107.340419273842,107.623019988513,193.956360526157,194.324479404219,1.80560329402539
"3071","Tri",7,8,"weeded","pre_closure",14.98949048,0.161360894,0.525026387250421,0.598829543320901,92.8941957894705,117.114212414925,117.244751260083,207.344722131972,207.511379728798,1.76989909994757
"6507","Tri",7,12,"invaded","pre_closure",13.10288945,0.131348588,0.51534913541677,0.576187937686184,99.7566068239729,100.861875381838,100.925155989658,174.960360194197,175.039523938211,1.73434979834114
"2996","Tri",7,14,"weeded","pre_closure",8.980399826,0.079476916,0.630072990704542,0.531923135283156,112.99381352442,98.7276310938135,98.6146282433837,168.138807131804,167.999968165255,1.70360088718913
"1669","Tri",7,11,"invaded","pre_closure",14.51949119,0.173981927,0.477517830932257,0.636739702730239,83.4540198534529,103.317603871454,103.207550437267,182.768336231041,182.627888008641,1.76952061389779
"4081","Tri",7,18,"invaded","pre_closure",12.85478286,0.144540319,0.527004818482682,0.60813242388562,88.9356198252198,105.103597564468,105.183005494204,180.416775640727,180.515076080162,1.71620001949944
"972","Tri",7,11,"invaded","pre_closure",12.27074435,0.121507783,0.582339713700744,0.572907930370027,100.987311652291,113.447867974974,113.634989025136,186.019261725511,186.240490247237,1.63893613969586
"2131_tri","Tri",7,11,"invaded","pre_closure",9.934184237,0.081273207,0.646013510260027,0.49491118780857,122.231970457373,113.431642881212,113.374817012001,195.744897545894,195.674161522574,1.72590498207253
"2289","Tri",7,11,"invaded","pre_closure",15.03946649,0.16171153,0.532958053047821,0.598526819550224,93.0018192889524,118.870811434747,118.893036695484,201.537532639981,201.564710033411,1.69534495573253
"2886","Tri",7,24,"invaded","pre_closure",10.8358556,0.123425719,0.491870219182631,0.626703865952353,87.7925256404623,87.0886576323039,86.97919176521,147.342361406336,147.208748939871,1.69245937967835
"1647","Tri",7,11,"invaded","pre_closure",10.72868181,0.102228623,0.628243432365232,0.559882632107595,104.947924516209,112.838106422859,112.841404462427,180.494097110912,180.49790212807,1.59957156673081
"3043","Tri",7,24,"invaded","pre_closure",11.06071089,0.096411123,0.665691239782398,0.518976115420215,114.724427491629,139.563188286555,130.6927032092,210.097280215532,200.340651438143,1.53291382394515
"2927","Tri",7,14,"weeded","pre_closure",13.39094691,0.15014503,0.520513943513316,0.616519445063299,89.1867477065341,104.907227841873,104.915033181158,176.731979946004,176.741463939503,1.68461524130981
"2379","Tri",7,23,"invaded","pre_closure",12.28291562,0.140562986,0.47555045212064,0.623247410136805,87.3837129498658,94.9903454032949,93.3503022528886,176.364236224852,174.16051359038,1.86566630623835
"2382","Tri",7,23,"invaded","pre_closure",11.60912672,0.119116337,0.559388065045617,0.585113221210186,97.4604072991264,108.909752996805,105.953999278836,190.045056857339,186.304919582657,1.75835665336581
"3427","Tri",7,35,"invaded","pre_closure",9.459114046,0.108760238,0.539320129617522,0.63181236151773,86.9721712635458,78.5859621838796,77.6633241824717,135.875448375537,134.722201225993,1.73469527147023
"3526","Tri",7,35,"invaded","pre_closure",13.10470354,0.15075639,0.543381556993743,0.623713137573344,86.9263554267915,114.398329389661,114.526868968295,196.010397463373,196.169214653212,1.71286630308141
"1157","Mai",3,30,"invaded","pre_closure",8.970671885,0.161492435,0.237282927168404,0.754518099578568,55.5485579556714,42.3977516360655,42.1698915556857,76.0255859916983,75.6737768009854,1.79449778050905
"1432","Mai",5,17,"invaded","pre_closure",9.247133758,0.126158161,0.378698605932049,0.685682548268034,73.2979435075944,57.8815705889483,58.202864194516,103.936588300501,104.428881350858,1.79422237712998
"1499","Mai",5,17,"invaded","pre_closure",9.422513843,0.153379542,0.292696657228267,0.731160252512447,61.4326638359632,51.007555414632,50.8484887748329,93.4877216134071,93.2371830048309,1.83362741452757
"1663","Mai",3,30,"invaded","pre_closure",5.831230438,0.079690377,0.317640196654601,0.692794118215789,73.1735832796976,31.5748501587673,31.6453710504868,55.0917460780324,55.1970163146063,1.74423666028581
"179","Mai",3,30,"invaded","pre_closure",11.90789853,0.184430619,0.348559574852677,0.716747313612159,64.5657353131803,72.6242382995174,73.0013941625932,137.056985954374,137.664499688178,1.88577904939135
"3665","Mai",3,30,"invaded","pre_closure",10.69930571,0.218064461,0.224295010175514,0.777826839796412,49.064875867141,48.9793528055042,49.1406655591801,89.1636037344983,89.4146274625411,1.81956484400601
"2131_mai","Mai",3,30,"invaded","pre_closure",10.44474996,0.153847259,0.316819777692099,0.705860921058541,67.8903870494046,56.8117839129472,56.894302182141,107.000166963716,107.133216844327,1.88302189736595
"5052","Mai",5,36,"invaded","pre_closure",10.75396205,0.182379424,0.290974116279604,0.726178439520772,58.9647769147467,53.9580457946367,53.7217207991742,100.260201482357,99.8824307041682,1.85925598097564
"2616","Mai",5,36,"invaded","pre_closure",9.848829004,0.15802835,0.31647990714145,0.715048233729529,62.3231781132942,51.5114740807894,51.3534019653919,90.6161065509135,90.377152882145,1.75990585673471
"2662","Mai",5,36,"invaded","pre_closure",10.72873643,0.156451357,0.354730288646043,0.689550980905427,68.5755408947971,60.0235848474591,60.0343812687011,106.530755202739,106.547176411714,1.77476929319603
"4781","Mai",5,23,"invaded","pre_closure",10.30739841,0.16619658,0.291831536378959,0.715693610549306,62.0193171845052,52.1564943998415,52.1854128642594,93.7323667655163,93.7768907956813,1.79699432559069
"5657","Mai",5,23,"invaded","pre_closure",9.254566727,0.13231211,0.332051748691426,0.697477630360275,69.9449712275014,50.6625834189549,50.7666734104852,87.346823400473,87.5003820582471,1.72357919438099
"3643","Mai",3,12,"invaded","pre_closure",9.786999265,0.209068955,0.225081067290202,0.783075384742892,46.8123029791774,45.6197668481596,45.5008181996832,81.5660252702128,81.3833405741217,1.78861268421517
"141","Mai",3,13,"weeded","pre_closure",11.31508766,0.164866201,0.306110013985996,0.695710282433746,68.6319426987949,58.5990963827616,58.3042714118678,102.567077645921,102.122883048536,1.75155062529002
"4250","Mai",3,2,"weeded","pre_closure",12.21542417,0.206249216,0.282869802927939,0.730728057179917,59.2265241386421,60.2684738770192,60.1346449495834,105.955427496415,105.753392328874,1.75861007273823
"9412","Mai",3,3,"weeded","pre_closure",8.885797271,0.128453075,0.350486853574714,0.697993254283376,69.1754344611836,49.0882509141584,49.0604227162091,83.700666723836,83.6599776645287,1.70524371851546
"2310","Mai",3,4,"invaded","pre_closure",8.566985343,0.121472262,0.344327089306427,0.693357366497856,70.5262683179474,47.3940738386401,47.3507026162494,81.7020788929105,81.6379464126117,1.72411267208094
"1021","Mai",3,24,"invaded","pre_closure",9.43550077,0.156698312,0.256998245521175,0.724791336060073,60.2144378555909,43.5831388355801,43.6670731193427,76.2485119075743,76.3741736859938,1.74901059838067
"2268","Mai",3,18,"invaded","pre_closure",10.53298045,0.182500348,0.285767571947984,0.739833469415794,57.7148513163383,53.7642003672056,53.8501094896171,99.2464437736947,99.3821900398857,1.84553366709584
"5069","Mai",3,24,"invaded","pre_closure",16.29138636,0.313129759,0.251740790774023,0.752090452143118,52.0275888565417,75.6378863650594,75.497329417016,141.073109037481,140.848064624756,1.86560326984243
"5030","Mai",3,24,"invaded","pre_closure",9.232821255,0.139375777,0.308757678910437,0.704946031428699,66.2440881316127,47.6909890951045,47.8819980089814,80.5627344195743,80.8383958222912,1.68828368037458
"1240","Mai",7,21,"weeded","pre_closure",11.01176218,0.208843531,0.293364620073767,0.762603196678805,52.7273319277483,63.9113877263747,63.7737185306322,121.916984433762,121.689890903111,1.90815109588851
"1264","Mai",7,21,"weeded","pre_closure",10.82726997,0.199343102,0.318335312657631,0.75665680082401,54.3147460903864,66.646507742268,66.691260628468,138.445722275792,138.525914247969,2.07712244366899
"2265","Mai",7,23,"invaded","pre_closure",9.878212792,0.147649817,0.382019474355144,0.692655183987547,66.9029802590273,65.962200105679,65.9207931503482,116.829107636216,116.765775078131,1.77130415909618
"2285","Mai",7,23,"invaded","pre_closure",10.01741015,0.12995275,0.400302308300977,0.669999394989608,77.0850185932964,68.6162463934849,68.6621245411046,123.641321886815,123.712632034675,1.80175945416042
"4844","Mai",7,19,"weeded","pre_closure",10.46466712,0.218365722,0.253310747417915,0.78220096249683,47.9226639792852,52.7820501206301,52.8976886748968,101.034096686442,101.22478629531,1.91359563774944
"1159","Mai",7,31,"weeded","pre_closure",11.48315241,0.181209419,0.312859140748982,0.716181988630119,63.3695117691426,58.760992967649,58.6995688653102,106.045671958354,105.949908601481,1.80495207459854
"4871","Mai",7,19,"weeded","pre_closure",10.89475907,0.195162921,0.280570550094383,0.750752361710802,55.8239188785251,56.6664450138148,56.6017420668869,105.794812756208,105.690447484029,1.86726492197244
"3539","Mai",7,31,"weeded","pre_closure",13.16979858,0.223007227,0.302330439868794,0.730180806892056,59.0554788612299,69.0985033474497,68.9588545511045,128.400945097544,128.176573696053,1.85873988961146
"2666","Mai",7,20,"weeded","pre_closure",10.51541549,0.158485379,0.342631961418589,0.710622853925332,66.3494358681503,61.2967278937679,61.5435552513115,115.729425078691,116.130265011437,1.88696061735825
"901","Mai",7,31,"weeded","pre_closure",13.27785182,0.228908955,0.300861496223698,0.734308307289255,58.0049470760111,68.6812870592391,68.7168888911265,135.535994734125,135.596606047958,1.97326462585922
"1817","Mai",7,32,"weeded","pre_closure",13.92293903,0.250542981,0.276664021996665,0.742863796561864,55.5710600010782,71.29365886681,71.2827770725751,132.135098623478,132.117689150352,1.85343072444889
"5073","Mai",7,20,"weeded","pre_closure",10.84307142,0.186560044,0.301029051178602,0.741956713904201,58.1210809534329,60.4006659479778,60.3697247297189,113.227280872212,113.177196672033,1.87473435035091
"5015","Mai",7,20,"weeded","pre_closure",10.16626426,0.149802918,0.359533439983756,0.705017547301093,67.864260561333,63.1825036962783,63.2033003602015,115.436386937811,115.469171982524,1.82694845560998
"6027","Mai",7,32,"weeded","pre_closure",10.46683143,0.150901559,0.371221829993634,0.694499090954181,69.3619833974015,65.3944223182305,65.327784762374,114.588312412495,114.487441636276,1.75250763595792
"5077","Mai",7,20,"weeded","pre_closure",9.201127273,0.141935504,0.335526813454826,0.717968195613184,64.8261147753419,54.7242116930093,54.5722652446541,99.8870769923108,99.6471145158364,1.82596624987264
"1153","Mai",7,32,"weeded","pre_closure",8.134168374,0.107686801,0.401911241557897,0.675235285938203,75.5354258689512,56.4413478986133,56.371175444585,98.8526074937187,98.7464160039179,1.75171823587374
"6000","Mai",7,32,"weeded","pre_closure",10.38645518,0.13440446,0.426558788796671,0.664000177191437,77.2776080496138,74.3208962886195,74.2412129070657,130.053207713392,129.932747163488,1.75014310887049
"6808","Mai",7,25,"weeded","pre_closure",9.230287051,0.13278156,0.401510662040016,0.696708720331252,69.5148260872971,62.2905608013005,62.3256777177633,110.360762650957,110.414435781013,1.77157216454213
"545","Mai",7,32,"weeded","pre_closure",8.942236413,0.120663449,0.359269314552466,0.682447622618269,74.1089077687478,52.3962437867555,52.2215937217134,93.3955063826662,93.1260215049844,1.78328570363534
"860","Mai",7,28,"invaded","pre_closure",10.45538049,0.127718407,0.415643618118488,0.650069382276091,81.8627536593061,72.3674667060906,72.3536887472191,126.940510151576,126.919647291149,1.75415586252369
"2546","Mai",7,33,"weeded","pre_closure",6.417388368,0.060805529,0.689777809759846,0.565496512353978,105.539553286347,86.8327460939217,86.6230493613445,120.570335465369,120.318491579192,1.38898933328113
"682","Mai",7,23,"invaded","pre_closure",10.58156706,0.155184912,0.372398643216676,0.703385991312019,68.1868290133773,67.5752155793861,67.5704021116918,120.609099989767,120.601684535194,1.7848300552636
"235","Mai",7,34,"invaded","pre_closure",9.561452037,0.115646947,0.467350509651187,0.648361111949937,82.6779459815744,65.8953128847816,65.8472213042262,105.991039758511,105.924233020236,1.60863633912276
"3581","Mai",7,23,"invaded","pre_closure",9.256708301,0.121716506,0.425683935594129,0.674858968373052,76.0513804183633,68.4148760909285,68.5824824504356,122.90720526928,123.166542278237,1.79588923989809
"6100","Mai",7,34,"invaded","pre_closure",7.586669497,0.06303157,0.624593082779844,0.50632765667334,120.363010107475,79.4162454535603,79.3374171552079,115.314135896748,115.215259651151,1.45221843340016
"4883","Mai",7,35,"invaded","pre_closure",10.11377935,0.122718076,0.477356548880484,0.648471588856477,82.4147483374821,76.4182659511934,76.4150415193027,124.107489494207,124.102969580554,1.62406467513604
"4859","Mai",7,24,"invaded","pre_closure",10.92645993,0.149061119,0.377053983781047,0.683257591311409,73.3018778022188,70.0967845784401,70.1816506023791,125.533777120664,125.664816717226,1.79056513545388
"4874","Mai",7,28,"invaded","pre_closure",5.363233632,0.047323408,0.637213655603594,0.537855495471515,113.331517290555,64.7546290303148,64.7534590596221,106.844032560314,106.842366382118,1.64998701125359
"4865","Mai",7,24,"invaded","pre_closure",7.355956265,0.07530835,0.622560341578742,0.595307931850334,97.6778307451962,84.4945059377929,84.765667033649,138.368629396237,138.750842223813,1.63687548366408
"42","Mai",7,36,"invaded","pre_closure",9.957399663,0.10983631,0.455413802317577,0.616718913278863,90.656720559895,71.6867309168201,71.8186684650267,120.419066588655,120.610050640271,1.67936907238826
"4676","Mai",7,24,"invaded","pre_closure",9.399316346,0.113101554,0.426139992404799,0.647356812902319,83.105103454193,67.1441047256048,66.9994273215439,116.763339030148,116.545777749947,1.73950408845467
"4834","Mai",7,30,"invaded","pre_closure",9.269212474,0.1019603,0.470970678040143,0.616898461701632,90.91001570219,71.7439885795012,71.756695919434,121.485438653317,121.504007579238,1.69327762409321
"652","Mai",7,30,"invaded","pre_closure",8.225997185,0.089862942,0.500384589781175,0.616848343011734,91.5393709789737,74.6998412667969,74.3797982254765,126.972309089468,126.500994346633,1.70074398377843
"4802","Mai",7,30,"invaded","pre_closure",7.351220664,0.075345193,0.611179317521847,0.595328229510114,97.5672152568512,87.4584292893457,87.4274122062458,136.887699643188,136.845785754661,1.56525032940281
"4934","Tri",3,23,"invaded","pre_closure",10.31518008,0.157203709,0.506887500113548,0.651501716443121,65.6166457243067,72.8224760387514,74.5200865808578,136.144904414635,138.380707728704,1.85695849371505
"6558","Tri",3,22,"invaded","pre_closure",12.02631641,0.119706454,0.530368045246116,0.564841366230897,100.465062727528,94.485034999309,95.0211586963053,177.020307398494,177.729883846119,1.87042429585769
"2329","Tri",3,20,"weeded","pre_closure",11.30115501,0.113373987,0.620058279795769,0.569070667977844,99.6803174082605,117.014534951148,116.938765099853,185.363361061519,185.278483491169,1.58440602081749
"774","Tri",3,20,"weeded","pre_closure",11.7377127,0.138353794,0.452818811367235,0.625756667580891,84.8383868678007,79.9137796431222,80.0734178106635,144.668731750367,144.873008329937,1.80925221241953
"4942","Tri",3,27,"weeded","pre_closure",13.85380139,0.155266711,0.44153174339563,0.616046885967775,89.2258314790992,82.7926236450127,82.8745022083633,158.67385128635,158.784789902666,1.91596674093377
"3960","Mai",5,3,"weeded","pre_closure",10.41522693,0.17474168,0.30489039085543,0.736673851810539,59.6035641296341,56.3754808853523,56.4651639087879,108.715538627757,108.863579267629,1.92797774294048
"3993","Mai",5,3,"weeded","pre_closure",10.69586438,0.152815947,0.323258154093231,0.696419616128698,69.9918077267158,58.1003174719956,58.0182540286754,101.389904542415,101.267015231847,1.74543369026231
"631","Mai",5,3,"weeded","pre_closure",9.285244518,0.137449886,0.379407802502775,0.690785078285522,67.5536720197789,59.090701045274,59.0542125452854,103.96709981224,103.912045378558,1.75960428392596
"flag2_mai","Mai",5,3,"weeded","pre_closure",10.82086308,0.153082789,0.332967927591868,0.693437138496312,70.686346588577,60.0186553146891,60.0934874432108,106.449432380055,106.563073763391,1.77328822635056
"543","Mai",3,30,"invaded","pre_closure",7.053447862,0.137246145,0.221362447522649,0.773764876564211,51.3926847417099,31.8727726385081,31.9060192306058,57.3942919631786,57.4455615407522,1.80046157201735
"511","Mai",3,30,"invaded","pre_closure",7.560785669,0.124262387,0.276168413259821,0.736971967276021,60.8453277901381,40.0835335107227,39.9840447109043,72.0026199954189,71.8491241285589,1.79694487258725
"2337","Mai",3,22,"invaded","pre_closure",7.417571292,0.14711737,0.251885172576731,0.776753443069635,50.4194120109678,37.3380658070407,37.387191539469,67.4734727690978,67.5494803921745,1.80675460259869
