id,spp,plot,subplot,quad,gm.trt,rosette_subplot,adult_subplot,total_subplot,rosette_quad,adult_quad,total_quad,anet_pre,gsw_pre,ci.ca_pre,iwue_pre,stom.lim_pre,vcmax25_pre,jmax25_pre,jmax.vcmax_pre,rd25_pre,rd.vcmax_pre,anet_post,gsw_post,ci.ca_post,iwue_post,stom.lim_post,vcmax25_post,jmax25_post,jmax.vcmax_post,rd25_post,rd.vcmax_post
1926,Tri,3,5,2,invaded,43,22,65,3,3,3,11.83860636,0.148474062,0.656702587,79.73518203,0.526813088,93.34117893,172.6765701,0.540554974,4.917214654,0.052680014,3.187395628,0.116763858,0.869342501,27.29779299,0.017103458,15.08205665,25.61647683,0.588763894,1.575400246,0.104455266
5495,Tri,3,3,2,weeded,0,0,0,NA,NA,NA,15.82502038,0.249590615,0.714524262,63.40390796,0.292789783,87.26806664,177.6301344,0.491290889,5.559808901,0.063709546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,Tri,3,14,2,weeded,0,0,0,NA,NA,NA,13.08396858,0.16532543,0.656420811,79.14068985,0.346162229,77.93302457,149.0287368,0.522939577,4.83163794,0.061997311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
916,Tri,3,16,2_4,invaded,0,0,0,0,0,0,14.87148345,0.177952393,0.636455796,83.57001105,0.387635786,94.07081901,173.4160482,0.542457402,5.803038043,0.061687972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1686,Tri,3,6,3,invaded,14,20,34,5,5,5,14.05270869,0.144608857,0.592885741,97.17737199,0.396061313,87.65902449,155.172417,0.564913702,4.777893165,0.054505434,2.602282507,0.129481486,0.897171763,20.09771896,0.044448074,13.91178009,24.33889409,0.571586369,1.721062851,0.123712626
2416,Tri,3,17,2_4,invaded,0,0,0,0,0,0,13.18355301,0.152416776,0.626184461,86.4967319,0.441036536,84.17783532,142.179769,0.592052132,3.413946894,0.040556364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3563,Tri,3,4,1,invaded,0,0,0,0,0,0,11.79064329,0.14435188,0.647266196,81.67987345,0.437013227,75.56296208,136.3243626,0.554288028,3.5539916,0.047033514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4714,Tri,3,7,4,weeded,0,0,0,NA,NA,NA,13.78498817,0.182451938,0.667324699,75.55407918,0.311151856,74.76300771,143.7313537,0.52015796,3.787737717,0.05066326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5488,Tri,3,1,1,weeded,0,0,0,0,0,0,13.17314056,0.132422625,0.575686698,99.47802016,0.448622224,86.25247522,173.7486434,0.496421,4.103927342,0.047580401,5.156493739,0.159261047,0.847741723,32.37762056,0.126522766,23.67338786,48.94441281,0.483679066,1.659520491,0.070100676
6578,Tri,3,1,4,weeded,0,0,0,NA,NA,NA,12.229702,0.129464452,0.59652232,94.46378377,0.410539382,76.17339806,139.9821943,0.544164909,3.641232749,0.047801895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,Tri,3,7,4,weeded,0,0,0,NA,NA,NA,15.63029543,0.188616508,0.635616199,82.86812006,0.413834849,95.52456836,167.1763362,0.571400059,3.742719152,0.039180697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1157,Mai,3,30,1,invaded,0,0,0,0,0,0,8.970671885,0.161492435,0.7545181,55.54855796,0.199320291,41.35717264,72.31331091,0.571916458,1.884502369,0.045566518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240,Mai,7,21,1,weeded,0,0,0,NA,NA,NA,11.01176218,0.208843531,0.762603197,52.72733193,0.253183568,63.31919078,121.3417252,0.521825371,5.381717191,0.084993461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1264,Mai,7,21,1,weeded,0,0,0,NA,NA,NA,10.82726997,0.199343102,0.756656801,54.31474609,0.279925287,66.49398058,138.7779047,0.479139534,6.181005353,0.092955863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1432,Mai,5,17,2,invaded,0,0,0,0,0,0,9.247133758,0.126158161,0.685682548,73.29794351,0.347727365,57.75210758,103.886287,0.555916563,4.368875069,0.075648756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1499,Mai,5,17,2_4,invaded,0,0,0,0,0,0,9.422513843,0.153379542,0.731160253,61.43266384,0.259107934,51.11479745,93.88579265,0.544435915,3.508904963,0.068647537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1663,Mai,3,30,1_3,invaded,0,0,0,0,0,0,5.831230438,0.079690377,0.692794118,73.17358328,0.28854203,31.51700071,54.91086441,0.573966574,1.881151138,0.05968687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,Mai,3,30,2,invaded,19,59,78,8,8,8,11.90789853,0.184430619,0.716747314,64.56573531,0.318705653,72.29548503,134.3223149,0.538223936,5.726876769,0.079214861,1.501651776,0.016835274,0.63688625,89.19675553,0.548415924,17.23185892,38.66634422,0.44565524,2.179758318,0.126495831
3665,Mai,3,30,1,invaded,0,0,0,0,0,0,10.69930571,0.218064461,0.77782684,49.06487587,0.180819759,46.40948981,81.00889189,0.572893774,1.798726187,0.038757724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,Tri,7,18,3,invaded,0,0,0,0,0,0,10.88587845,0.098832521,0.54024625,110.1447008,0.753980477,193.4702505,276.6846176,0.699244693,17.57512054,0.090841463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,Tri,7,24,2,invaded,0,0,0,0,0,0,13.6474419,0.147222405,0.602625013,92.69949027,0.462015816,103.6844544,195.3669197,0.530716533,7.59676049,0.073268076,3.647651725,0.04329596,0.643077641,84.24923993,0.394795661,26.4416225,43.56564823,0.606937428,2.420156256,0.091528281
2131_mai,Mai,3,30,2,invaded,0,0,0,0,0,0,10.44474996,0.153847259,0.705860921,67.89038705,0.281735019,55.77961663,103.4093743,0.539405803,3.275102144,0.058715035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
