id,spp,plot,subplot,quad,gm.trt,rosette_subplot,adult_subplot,total_subplot,rosette_quad,adult_quad,total_quad,anet_pre,gsw_pre,ci.ca_pre,iwue_pre,stom.lim_pre,vcmax25_pre,jmax25_pre,jmax.vcmax_pre,rd25_pre,rd.vcmax_pre,anet_post,gsw_post,ci.ca_post,iwue_post,stom.lim_post,vcmax25_post,jmax25_post,jmax.vcmax_post,rd25_post,rd.vcmax_post
2265,Mai,7,23,NA,invaded,0,0,0,0,0,0,9.878212792,0.147649817,0.692655184,66.90298026,0.350473162,65.12112169,114.6522354,0.567988243,5.534393742,0.084986155,5.765313867,0.04588085,0.494384974,125.6583924,0.431122829,31.26310624,43.84910845,0.712970169,-0.146934623,-0.004699937
2285,Mai,7,23,2,invaded,0,0,0,0,0,0,10.01741015,0.12995275,0.669999395,77.08501859,0.360521613,65.90127085,116.2684566,0.566802663,5.363142263,0.081381469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2337,Mai,3,22,2,invaded,0,0,0,0,0,0,7.417571292,0.14711737,0.776753443,50.41941201,0.223357529,37.44085894,67.23939636,0.556829195,2.40611794,0.064264496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2379,Tri,7,23,3,invaded,0,0,0,0,0,0,12.28291562,0.140562986,0.62324741,87.38371295,0.449695155,97.00045179,178.354424,0.543863447,8.114068272,0.083649799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2382,Tri,7,23,3,invaded,0,0,0,0,0,0,11.60912672,0.119116337,0.585113221,97.4604073,0.521450245,108.6600484,195.5420742,0.555686283,9.510312779,0.087523546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2508,Tri,5,21,NA,weeded,0,0,0,0,0,0,11.57615661,0.1142837,0.573206888,101.2931556,0.637078705,145.8136971,230.0352236,0.633875521,14.5988756,0.100120057,4.590147772,0.09812845,0.793421468,46.77693138,0.221068292,27.48505949,53.95531132,0.50940415,2.887767734,0.105066818
2547,Tri,5,19,1,weeded,0,0,0,0,0,0,12.99489428,0.148668518,0.624742783,87.40851429,0.399101094,84.63312547,167.7407509,0.504547196,5.341814156,0.063117297,5.298126851,0.124535122,0.808708123,42.54323412,0.187876175,28.29984936,58.22329214,0.486057183,2.517152228,0.088945782
2666,Mai,7,20,4,weeded,0,0,0,0,0,0,10.51541549,0.158485379,0.710622854,66.34943587,0.314026873,61.72684231,116.2687993,0.530897736,4.455249664,0.07217686,6.037084623,0.080438845,0.6874275,75.05185654,0.214809618,23.0251619,35.64626071,0.645934846,-0.332847586,-0.01445582
2886,Tri,7,24,3,invaded,0,0,0,0,0,0,10.8358556,0.123425719,0.626703866,87.79252564,0.468948738,87.96058442,148.089794,0.593967903,7.605286879,0.086462441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2988,Tri,5,33,1_2,weeded,0,0,0,0,0,0,13.10648159,0.133841194,0.583633192,97.92561765,0.587982855,135.9716045,220.8552443,0.615659388,11.58325113,0.085188751,3.74526823,0.127950066,0.860930224,29.27132698,0.090046722,16.47372063,28.54975468,0.57701794,1.146963754,0.069623844
3004,Tri,5,21,4,weeded,0,0,0,0,0,0,12.10690556,0.128637614,0.600160623,94.11637221,0.526999098,105.9838795,183.5553439,0.577394683,8.32068674,0.078508984,4.875041966,0.101241239,0.787763975,48.15272921,0.215880016,27.31545877,55.8896118,0.488739462,2.509246903,0.091861789
3043,Tri,7,24,3,invaded,0,0,0,0,0,0,6.493201908,0.097623913,0.612341107,66.51241185,0.8089592,165.3413144,231.1926865,0.715166716,15.1415389,0.091577468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3077,Tri,5,21,1_2,weeded,0,0,0,NA,NA,NA,12.66787838,0.136217622,0.603391288,92.99735375,0.63167944,156.901602,254.7804952,0.615830509,15.65727979,0.099790439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3526,Tri,7,35,4,invaded,0,4,4,0,0,0,13.10470354,0.15075639,0.623713138,86.92635543,0.507579559,112.9641073,197.9644835,0.570628152,9.436100217,0.083531844,4.181350132,0.051676518,0.653360856,80.91392927,0.30574694,21.89918699,33.61702212,0.651431495,0.973322484,0.044445599
3581,Mai,7,23,2,invaded,0,0,0,0,0,0,9.256708301,0.121716506,0.674858968,76.05138042,0.386770757,66.10766869,117.0683809,0.564692773,6.049354717,0.091507609,1.917606091,0.014837743,0.489261288,129.2383981,0.647742536,19.34695289,39.83215548,0.485711924,0.737002246,0.03809397
3960,Mai,5,3,1,weeded,0,0,0,NA,NA,NA,10.41522693,0.17474168,0.736673852,59.60356413,0.2718024,56.30381149,108.569036,0.518599166,3.684717276,0.065443478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3993,Mai,5,3,1,weeded,0,0,0,0,0,0,4.106476716,0.152641796,0.758608331,26.90270177,0.720388062,54.56645027,92.39657225,0.590567907,2.636642808,0.048319852,4.545580443,0.060573142,0.68592792,75.04283736,0.339523598,29.00023491,47.98832516,0.604318547,2.382420782,0.082151775
4000,Tri,5,20,4,weeded,0,0,0,NA,NA,NA,13.4198004,0.132360944,0.569258093,101.387917,0.556496989,131.9857156,234.6264312,0.56253558,11.66207685,0.088358629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4081,Tri,7,18,3,invaded,0,0,0,0,0,0,12.85478286,0.144540319,0.608132424,88.93561983,0.518149287,110.1748216,186.2304285,0.591604833,8.469284829,0.076871328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4109,Tri,5,32,1_2,weeded,0,0,0,NA,NA,NA,12.95343851,0.126199758,0.565306001,102.6423403,0.618572185,149.1865877,245.6986341,0.607193395,13.65770969,0.091547839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4414,Tri,5,22,2,invaded,39,25,64,6,6,6,14.54540431,0.177795274,0.643894766,81.80984783,0.461141055,114.7407659,214.9297259,0.533852474,9.576871623,0.083465293,5.624384689,0.118934007,0.790264724,47.28996215,0.31684148,46.08660474,88.33367144,0.521733151,6.490360368,0.140829649
4431,Tri,5,23,3,invaded,21,22,43,9,9,9,9.816215502,0.103144864,0.600303246,95.16921271,0.598101316,115.8960876,188.0096494,0.616436911,12.55702354,0.10834726,4.861803126,0.139992967,0.839085252,34.72890982,0.116593518,20.72455507,52.76926935,0.392739095,1.117394893,0.053916472
4576,Tri,5,21,3,weeded,0,0,0,NA,NA,NA,10.46039928,0.098526445,0.55649893,106.1684432,0.662888817,139.9709318,217.1639993,0.644540219,13.59042084,0.097094594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4676,Mai,7,24,3,invaded,0,0,0,0,0,0,9.399316346,0.113101554,0.647356813,83.10510345,0.396324662,66.34340517,115.3147943,0.575324316,5.517762421,0.08316972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4736,Mai,7,23,4,invaded,0,0,0,0,0,0,2.158733461,0.01673686,0.485560348,128.9807922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4802,Mai,7,30,1,invaded,0,0,0,0,0,0,7.351220664,0.075345193,0.59532823,97.56721526,0.589136688,87.55589811,136.9505544,0.63932489,10.0069825,0.1142925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,Tri,5,22,1,invaded,39,25,64,16,16,16,10.61920378,0.097918285,0.547295663,108.4496504,0.63047688,124.5201413,193.7522742,0.642677057,10.9824906,0.088198507,4.243861653,0.076053966,0.759544715,55.80066203,0.267681981,26.85883516,48.39500787,0.554991854,2.78547628,0.103708008
4844,Mai,7,19,center,weeded,0,0,0,0,0,0,10.46466712,0.218365722,0.782200962,47.92266398,0.219739122,52.78822289,100.8826632,0.523263574,3.466603195,0.065670011,3.950490186,0.038127859,0.579428838,103.6116442,0.368078386,20.04761311,33.51644112,0.598142656,0.153053799,0.007634515
4859,Mai,7,24,3,invaded,0,0,0,0,0,0,10.92645993,0.149061119,0.683257591,73.3018778,0.347990395,69.72728976,124.4945696,0.560082982,5.507048943,0.078979822,5.405601141,0.047852988,0.544685761,112.962668,0.376408203,27.489601,40.15719953,0.684549752,0.113601328,0.00413252
4865,Mai,7,24,3,invaded,0,0,0,0,0,0,7.355956265,0.07530835,0.595307932,97.67783075,0.603961348,84.79653175,138.5723601,0.611929621,8.575489862,0.101130196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4871,Mai,7,19,1,weeded,0,0,0,0,0,0,10.89475907,0.195162921,0.750752362,55.82391888,0.245781923,56.3100136,105.2169441,0.53518009,3.478479446,0.061773728,5.722926775,0.074671491,0.680983889,76.6413891,0.228079211,21.73021669,33.77742364,0.643335528,-0.471732664,-0.021708604
4959,Tri,5,22,4,invaded,39,25,64,11,11,11,12.50744023,0.130841998,0.593642967,95.59193853,0.597425115,131.9186212,208.9739812,0.631268163,11.0047168,0.083420496,5.402678416,0.11900292,0.797596326,45.39954495,0.216030995,30.7823988,60.50491078,0.508758684,2.942599556,0.095593575
4990,Tri,5,22,1_3,invaded,39,25,64,0,0,0,12.07849609,0.131773586,0.609830186,91.66098045,0.564231141,118.5575311,202.1247804,0.58655614,10.11125356,0.085285629,5.247995538,0.131254379,0.818682142,39.98339391,0.16996907,24.37152152,49.79950791,0.489392818,1.463311888,0.060041877
5015,Mai,7,20,4,weeded,0,0,0,NA,NA,NA,10.16626426,0.149802918,0.705017547,67.86426056,0.323876071,62.15891051,113.516368,0.547576633,4.788797194,0.077041202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5073,Mai,7,20,4,weeded,0,0,0,NA,NA,NA,10.84307142,0.186560044,0.741956714,58.12108095,0.265870146,59.88512279,112.4819779,0.532397491,4.307951092,0.071936917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5077,Mai,7,20,4,weeded,0,0,0,0,0,0,9.201127273,0.141935504,0.717968196,64.82611478,0.298043395,53.74398215,97.76035173,0.54975234,3.960578301,0.073693428,3.927780184,0.04859976,0.669055758,80.81892192,0.28424644,16.9804376,27.60021282,0.615228502,-0.062880128,-0.003703092
511,Mai,3,30,2,invaded,0,0,0,0,0,0,7.560785669,0.124262387,0.736971967,60.84532779,0.227674728,38.15985568,66.46862717,0.574103262,2.334955812,0.061188801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5115,Tri,5,19,3,weeded,0,0,0,0,0,0,12.37349003,0.133964131,0.606466727,92.3642018,0.503842231,102.1089579,185.1191674,0.551585011,7.642018949,0.074841807,6.043359586,0.144787652,0.811071796,41.73946813,0.153294774,25.0502732,49.19314804,0.509222813,0.86530183,0.03454261
5228,Tri,5,19,1,weeded,0,0,0,NA,NA,NA,8.05144007,0.062371127,0.472707926,129.089219,0.738565878,132.4884635,202.4702031,0.654360303,11.44466655,0.086382363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,Mai,3,30,2_4,invaded,0,0,0,0,0,0,7.053447862,0.137246145,0.773764877,51.39268474,0.188911327,31.9245186,57.4982446,0.555225969,1.495308844,0.046838885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5479,Tri,3,21,3,weeded,0,0,0,0,0,0,11.88229882,0.133525777,0.610261692,88.98880117,0.553025255,117.3171384,199.3538396,0.588486977,10.99747169,0.093741391,5.658836295,0.124865069,0.797750206,45.3196107,0.153935169,23.20678929,50.2669649,0.461670788,0.72544658,0.031260101
583,Tri,3,23,3_4,invaded,0,0,0,0,0,0,9.629140061,0.108066281,0.613797437,89.10401998,0.486777014,78.28474083,139.7158359,0.560314014,6.282220609,0.080248341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5877,Tri,5,27,3,weeded,0,0,0,0,0,0,10.70342709,0.099290376,0.549342437,107.7992402,0.624181368,125.5930339,211.5415399,0.593703884,11.54259982,0.091904777,4.82148477,0.139832958,0.839739986,34.48031734,0.153046907,23.26539199,43.35397684,0.536638013,1.739846404,0.074782596
652,Mai,7,30,3,invaded,0,1,1,0,0,0,8.225997185,0.089862942,0.616848343,91.53937098,0.440406503,66.8137327,110.216956,0.606201941,6.474779431,0.096907914,3.504171051,0.032376013,0.551048119,108.2335583,0.484503409,27.32466657,40.84766149,0.668940781,1.931741844,0.070695898
631,Mai,5,3,3,weeded,0,0,0,0,0,0,9.285244518,0.137449886,0.690785078,67.55367202,0.346102509,58.61093008,103.4562323,0.566528751,4.469683811,0.076260244,5.943167823,0.092924249,0.726231235,63.95712521,0.325376443,41.15816923,72.77644711,0.565542437,4.339181499,0.10542698
6507,Tri,7,12,2_4,invaded,0,0,0,0,0,0,13.10288945,0.131348588,0.576187938,99.75660682,0.497271435,103.1865193,178.5237037,0.577998984,6.85053069,0.066389784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,Mai,7,23,2_4,invaded,0,0,0,0,0,0,19.48824075,0.153409562,0.818144965,127.0340681,-0.224450851,66.44069058,119.1720852,0.557518906,5.221365138,0.078586858,4.960331056,0.032579983,0.507391042,152.2508803,0.414177407,35.19750148,57.5284087,0.611828178,2.777242769,0.078904543
7574,Tri,7,12,2_4,invaded,0,0,0,0,0,0,13.28578143,0.151334394,0.622483922,87.79089194,0.380772602,81.40333829,160.5620321,0.50698996,4.472563866,0.054943249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860,Mai,7,28,1,invaded,0,0,0,0,0,0,10.45538049,0.127718407,0.650069382,81.86275366,0.378467613,70.28045861,122.8669025,0.572004805,5.57746383,0.079360094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
flag2_mai,Mai,5,3,3,weeded,0,0,0,0,0,0,10.82086308,0.153082789,0.693437138,70.68634659,0.302667306,59.06542693,103.2441307,0.572094767,3.343631443,0.056608944,4.29806315,0.079831334,0.766843992,53.83930018,0.268353152,27.3469305,50.07870412,0.546079037,2.862010343,0.104655634
1021,Mai,3,24,2,invaded,24,13,37,9,9,9,9.43550077,0.156698312,0.724791336,60.21443786,0.205617718,40.58860492,67.75610892,0.599039785,1.094856799,0.026974487,4.461952357,0.068688906,0.724549332,64.95885016,0.222352638,22.89449732,37.586834,0.609109491,1.576340017,0.068852353
1153,Mai,7,32,2,weeded,0,0,0,NA,NA,NA,8.134168374,0.107686801,0.675235286,75.53542587,0.358380913,54.08467502,93.61594918,0.577729281,4.53530109,0.083855567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1159,Mai,7,31,3,weeded,0,0,0,0,0,0,11.48315241,0.181209419,0.716181989,63.36951177,0.281260147,58.58256916,106.0025277,0.552652568,2.672615562,0.045621344,4.687148851,0.071928339,0.72293606,65.16414677,0.174346901,20.34936409,32.27389478,0.630520866,0.824106558,0.040497902
1374,Tri,5,10,1,invaded,6,27,33,4,4,4,11.43326406,0.141725516,0.659646542,80.6718817,0.442530363,86.40885082,156.4511333,0.552305688,7.05747736,0.081675399,4.721590724,0.137418072,0.840693282,34.35931435,0.176886628,24.52004727,49.45959792,0.495759131,2.097153868,0.085528133
141,Mai,3,13,2,weeded,0,0,0,0,0,0,11.31508766,0.164866201,0.695710282,68.6319427,0.263051257,55.88085251,95.14058696,0.587350302,2.339096308,0.041858637,2.635361333,0.028795004,0.62621596,91.52147757,0.51409474,25.91200349,44.19059929,0.586369135,2.854488315,0.110160849
1647,Tri,7,11,center,invaded,0,0,0,0,0,0,3.416657407,0.097454015,0.698624106,35.05917542,0.879243432,119.7785325,189.6857084,0.631457865,9.785725188,0.08169849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1669,Tri,7,11,1_3,invaded,0,0,0,0,0,0,14.51949119,0.173981927,0.636739703,83.45401985,0.45225161,104.2337001,185.0301355,0.563333642,6.689922203,0.064181951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1739,Tri,5,14,2,weeded,0,0,0,NA,NA,NA,12.35615426,0.124491626,0.579474699,99.25289481,0.493219084,102.7763692,180.8988877,0.568142627,8.376492537,0.081502125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1795,Tri,5,14,2,weeded,0,0,0,NA,NA,NA,12.32494683,0.140087396,0.623427273,87.9804121,0.469110118,94.94225513,168.0649718,0.564913998,7.06068695,0.074368225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1817,Mai,7,32,3,weeded,0,0,0,NA,NA,NA,13.92293903,0.250542981,0.742863797,55.57106,0.241653642,70.68181829,131.2816646,0.538398248,4.168872645,0.058980835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1827,Tri,7,8,3,weeded,0,0,0,NA,NA,NA,1.685088751,0.265677431,0.875731846,6.342611582,0.939755575,107.0078485,216.8062991,0.493564297,6.131677966,0.057301198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,Tri,7,8,3,weeded,0,0,0,0,0,0,13.72632147,0.15115469,0.609478616,90.8097623,0.504340596,110.3660699,199.2838346,0.55381346,7.574348454,0.068629321,4.786731577,0.069577187,0.708692379,68.79742871,0.371090481,38.52307949,67.96971325,0.56676831,4.695795368,0.121895638
2131_tri,Tri,7,11,1,invaded,0,0,0,0,0,0,9.934184237,0.081273207,0.494911188,122.2319705,0.640245563,119.8111802,203.6439462,0.588336567,10.56442005,0.088175578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2268,Mai,3,18,4,invaded,15,36,51,7,7,7,10.53298045,0.182500348,0.739833469,57.71485132,0.239478107,51.09433563,91.2938197,0.559669163,2.473664538,0.048413675,3.512619413,0.041633869,0.652090042,84.36927757,0.411044939,26.32810252,42.54329108,0.618854392,2.446875555,0.092937786
2289,Tri,7,11,1_3,invaded,0,0,0,0,0,0,15.03946649,0.16171153,0.59852682,93.00181929,0.507969065,119.1328341,203.619669,0.585075276,7.419452838,0.062278824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2310,Mai,3,4,2,invaded,0,0,0,0,0,0,8.566985343,0.121472262,0.693357366,70.52626832,0.315226224,47.34255815,81.62186986,0.580022955,2.563470297,0.05414727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2329,Tri,3,20,3,weeded,0,0,0,NA,NA,NA,11.30115501,0.113373987,0.569070668,99.68031741,0.600345266,116.799464,185.2229494,0.630588512,8.937563591,0.076520587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,Mai,7,34,4,invaded,0,0,0,0,0,0,9.561452037,0.115646947,0.648361112,82.67794598,0.431599932,61.53241049,98.40890809,0.625272769,2.775201757,0.045101463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2546,Mai,7,33,3,weeded,0,0,0,0,0,0,6.417388368,0.060805529,0.565496512,105.5395533,0.690671149,92.21297057,124.1798577,0.742575908,8.554135686,0.092764994,6.028105386,0.090672498,0.716205217,66.48218054,0.24864106,32.58951535,55.46318663,0.587588224,2.388425492,0.073288156
2563,Tri,5,16,3,invaded,2,27,29,0,0,0,13.10096192,0.12722373,0.563632646,102.9757728,0.537952062,116.2866573,211.3379555,0.550240287,8.760592829,0.075336182,3.246688403,0.072662397,0.802924177,44.68182357,0.298106945,32.71752833,60.16070048,0.543835562,5.826641751,0.178089301
2573,Tri,5,31,4,weeded,0,0,0,NA,NA,NA,11.41146449,0.149786527,0.671147902,76.18485266,0.396684369,78.14201873,143.4703512,0.544656217,6.03838462,0.07727449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2616,Mai,5,36,3,invaded,26,19,45,6,6,6,5.4085162,0.155748083,0.739753366,34.7260531,0.613404345,51.0500364,89.59740675,0.569771361,2.373699773,0.046497514,4.933328869,0.065227413,0.682687105,75.63275324,0.233593455,18.87443573,29.02516649,0.650278293,-0.40715061,-0.021571538
2662,Mai,5,36,3,invaded,26,19,45,6,6,6,10.72873643,0.156451357,0.689550981,68.57554089,0.324607486,59.64828908,106.1054871,0.562160268,3.135067054,0.052559212,0.928410337,0.013206812,0.708814224,70.29783987,0.86565461,27.24422648,48.09948028,0.566414155,1.79308169,0.065815107
2912,Tri,5,11,3_4,invaded,10,61,71,0,0,0,14.8357365,0.195182574,0.67228535,76.00953403,0.419756524,104.8334823,196.9191403,0.53236817,7.872177247,0.075092204,4.196669855,0.149474038,0.865103262,28.07624596,0.130640639,19.37708136,44.25144841,0.437885811,1.36307708,0.070344809
2927,Tri,7,14,4,weeded,0,0,0,NA,NA,NA,13.39094691,0.15014503,0.616519445,89.18674771,0.49575664,104.426166,176.8210637,0.590575375,6.736440968,0.064509129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2996,Tri,7,14,1,weeded,0,0,0,0,0,0,8.980399826,0.079476916,0.531923135,112.9938135,0.61744619,101.0621996,170.6039571,0.592378988,8.710247654,0.086186999,4.676215927,0.072580587,0.725584434,64.42791516,0.337729746,37.39813951,63.70651147,0.587037944,4.886684348,0.130666509
3071,Tri,7,8,center,weeded,0,0,0,0,0,0,14.98949048,0.161360894,0.598829543,92.89419579,0.505593548,118.3786762,209.0835384,0.566178845,7.458366184,0.063004305,4.903247954,0.090610821,0.764974544,54.11327123,0.20281346,29.21157385,48.78655093,0.598762841,3.181521646,0.108913051
3427,Tri,7,35,4,invaded,0,4,4,0,0,0,9.459114046,0.108760238,0.631812362,86.97217126,0.518295017,80.81186663,139.9830778,0.577297398,5.850417124,0.07239552,4.269558421,0.051950082,0.652984759,82.18578803,0.325902064,23.27695255,38.6192637,0.602729061,1.102544769,0.047366371
3539,Mai,7,31,3_4,weeded,0,0,0,NA,NA,NA,4.341236727,0.209049894,0.790107587,20.76651006,0.759054453,68.91481394,128.7372856,0.535313554,3.926885588,0.056981734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
