"id","spp","plot","subplot","gm.trt","canopy","anet","gsw","l","ci.ca","iwue","vcmax","vcmax25","jmax","jmax25","jmax.vcmax"
"1926","Tri",3,5,"invaded","pre_closure",11.83860636,0.148474062,0.525426428679005,0.65670258732626,79.7351820279558,82.7926236450127,83.253943200941,158.67385128635,159.361187013011,1.91415782707586
"5495","Tri",3,3,"weeded","pre_closure",15.82502038,0.249590615,0.314303355304101,0.714524262356563,63.4039079554333,85.4776938116299,85.8056206114117,176.132876076947,176.658542458297,2.05882250136424
"552","Tri",3,14,"weeded","pre_closure",13.08396858,0.16532543,0.375247560112753,0.656420810923123,79.1406898503152,77.6583955637309,77.6522931046956,147.779613353598,147.770565515622,1.90297748601433
"916","Tri",3,16,"invaded","pre_closure",14.87148345,0.177952393,0.414067158512037,0.636455795721255,83.5700110534619,93.6394340576899,93.9239317981273,172.581036437621,172.989068230793,1.84179968745987
"1686","Tri",3,6,"invaded","pre_closure",14.05270869,0.144608857,0.410388480311028,0.592885741020042,97.1773719918137,85.5583621293281,85.8430868613354,154.110809989117,154.509860249268,1.79991034687338
"2416","Tri",3,17,"invaded","pre_closure",13.18355301,0.152416776,0.473172458804359,0.62618446116725,86.4967318951819,88.1498587590239,88.6484143853898,146.861036864223,147.50674740146,1.66395246236655
"3563","Tri",3,4,"invaded","pre_closure",11.79064329,0.14435188,0.45230474283571,0.647266196453958,81.6798734453614,72.5789919182073,73.7352399296916,132.434005709772,134.067789734263,1.81823223009921
"4714","Tri",3,7,"weeded","pre_closure",13.78498817,0.182451938,0.348781051997044,0.66732469856721,75.5540791789233,75.930274930972,75.8288678402815,143.294406524325,143.14522549681,1.88774050798592
"5488","Tri",3,1,"weeded","pre_closure",13.17314056,0.132422625,0.463379257884382,0.575686697767626,99.4780201646056,84.1299612837752,85.5672142203,172.207208451023,174.48442628403,2.03915048390853
"6578","Tri",3,1,"weeded","pre_closure",12.229702,0.129464452,0.428025032001811,0.596522320000455,94.4637837728614,74.2005964988572,74.4956754694143,137.847212418061,138.273645395617,1.85612982934007
"902","Tri",3,7,"weeded","pre_closure",15.63029543,0.188616508,0.443229421908239,0.635616199035725,82.8681200587172,100.155833582722,100.020949112646,176.018264374867,175.833475260665,1.75796647422968
"1157","Mai",3,30,"invaded","pre_closure",8.970671885,0.161492435,0.237282927168404,0.754518099578568,55.5485579556714,42.3977516360655,42.0995569070146,76.0255859916983,75.618819554819,1.7961903903606
"1240","Mai",7,21,"weeded","pre_closure",11.01176218,0.208843531,0.293364620073767,0.762603196678805,52.7273319277483,63.9113877263747,63.7341516409877,121.916984433762,121.657181202914,1.90882247696973
"1264","Mai",7,21,"weeded","pre_closure",10.82726997,0.199343102,0.318335312657631,0.75665680082401,54.3147460903864,66.646507742268,66.7039752087925,138.445722275792,138.53733962266,2.07689780390177
"1432","Mai",5,17,"invaded","pre_closure",9.247133758,0.126158161,0.378698605932049,0.685682548268034,73.2979435075944,57.8815705889483,58.2978548182512,103.936588300501,104.502695584101,1.79256502507507
"1499","Mai",5,17,"invaded","pre_closure",9.422513843,0.153379542,0.292696657228267,0.731160252512447,61.4326638359632,51.007555414632,50.7998424938621,93.4877216134071,93.198388490202,1.83461963492235
"1663","Mai",3,30,"invaded","pre_closure",5.831230438,0.079690377,0.317640196654601,0.692794118215789,73.1735832796976,31.5748501587673,31.6664853559471,55.0917460780324,55.2129914724796,1.7435781347964
"179","Mai",3,30,"invaded","pre_closure",11.90789853,0.184430619,0.348559574852677,0.716747313612159,64.5657353131803,72.6242382995174,73.113050233865,137.056985954374,137.75570674992,1.88414662374616
