"obs","time..2","elapsed","date","hhmmss..5","averaging","machine","id","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
1,1686662104.5,0,2023-06-13 09:15:04,09:15:04,5,"albert","901",1686662096.5,0.0015828985861136,1.5828985861136,5.59346948134898,411.811767740616,314.218095141367,30.699235788158,40.2341773236182,0.102833503619433,2.88756820023128,0.100841491713497,0.0632016926793323,283.833148283184,25.8498603856927,24.9684064516129,3.17369334401644,54.1559954888601,1.67817972096485,3.09878842742361,1.49551362305159,-69.8058276476099,-62.2582806751002,-4.55000934700574,147.219030613468,5.53401956086034,1.58325118085046,5.59346948134898,425.779549874195,418.963933333333,-0.00022518627881641,64.2812443311333,1.5828985861136,15.3092856521819,17.176060371517,1.82114515485962e-05,99.6152623046693,36,7,1,0,51995,1612.0119483871,1322.45438479323,0.820375051262127,0.176073848935905,6,0.5,"0: Broadleaf",2,TRUE,1686662096.5,411.811774193548,419.235258064516,17.1767935483871,15.3094612903226,408.600741935484,16.9740903225806,499.982580645161,97.6004548387097,0.0999521806451613,24.5684806451613,24.9684064516129,999.9,0,0,10002.6206451613,0,12.0767870967742,-7.4235935483871,419.008935483871,425.753483870968,1.8673335483871,419.235258064516,15.3094612903226,1.67646290322581,1.49421064516129,14.6801967741935,12.9090516129032,1599.93516129032,0.974997903225807,0.0250021935483871,0,2.03034516129032,0,24345.3838709677,13847.9903225806,37.9212258064516,37.9352258064516,37.6226774193548,35.8827741935484,37.1206774193548,1559.93225806452,40.0038709677419,0,1686662103.5,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,-7.43110146341463,0.0829639024390479,0.0331677079629714,1,1.87038219512195,-0.050458954703825,0.00563010137767545,1,2,2,"2/2",3.13196,2.79453,0.0925786,0.0948774,0.0928712,0.0863084,27664,27242.2,30989.3,30313.1,38714,36435.3,47321.3,45049.7,1.84982,2.15345,0.214711,0,21.4398,999.9,61,21.7,16.2829,63.1266,26.7308,1,-0.555528,-1.97727,20.2404,5.23241,11.962,4.97125,3.28932,9999,9999,9999,999.9,4.97261,1.87603,1.87406,1.87689,1.87377,1.87744,1.87453,1.8756,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.211,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,4.8,4.8,1.05347,2.45728,1.39893,2.34497,1.44897,2.47559,26.9961,15.7081,18,428.768,586.443,23.8544,19.5638,30.0001,19.121,19.1448,21.0511,19.6747,100,23.8755,412.669,15.2602,102.338,103.616
2,1686662109.5,5,2023-06-13 09:15:09,09:15:09,5,"albert","901",1686662101.65517,0.00157704241308864,1.57704241308864,5.58569598230699,411.785269417431,314.058612601204,30.6835399448284,40.2314385146501,0.102521230640637,2.88741271330497,0.100541068651181,0.0630128920454042,283.840916371502,25.8388617544365,24.9618724137931,3.17245693774656,54.1918465560593,1.67801878863145,3.09644143034618,1.49443814911511,-69.5475704172092,-63.2096001047378,-4.6193364295228,146.464409420033,5.35684051126661,1.58081952225909,5.58569598230699,425.671907187343,418.866315151515,-0.00031202094830418,64.2812443311333,1.57704241308864,15.3118329566914,17.1717974200206,2.76437945398728e-06,99.6152623046693,36,7,1,0,51994,1612.05656551724,1322.49094207028,0.820375023035217,0.176073794457969,6,0.5,"0: Broadleaf",2,TRUE,1686662101.65517,411.785275862069,418.99475862069,17.1752103448276,15.310775862069,408.574344827586,16.9725034482759,499.991379310345,97.6000551724138,0.0999877931034483,24.5558137931035,24.9618724137931,999.9,0,0,10001.7679310345,0,12.1831172413793,-7.20950206896552,418.981379310345,425.509793103448,1.86443586206897,418.99475862069,15.310775862069,1.67630137931035,1.4943324137931,14.6787,12.9103068965517,1599.87344827586,0.974999068965517,0.0250009034482759,0,2.04511724137931,0,24310.3310344828,13847.4517241379,37.6054827586207,37.9501379310345,37.6398275862069,35.9264137931034,37.1009310344828,1559.87482758621,39.9993103448276,0,1686662108.9,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,-7.33000707317073,1.49917442508712,0.302318346467669,0,1.8663212195122,-0.0307406968641068,0.00355211458500216,1,1,2,"1/2",3.13224,2.79461,0.0925503,0.0943276,0.0928496,0.0863124,27664.4,27258.8,30988.7,30313.1,38714.2,36435,47320.4,45049.6,1.85063,2.1531,0.214644,0,21.4377,999.9,61,21.7,16.2815,63.6166,26.6466,1,-0.55533,-1.88071,20.2417,5.23391,11.962,4.97165,3.28958,9999,9999,9999,999.9,4.97261,1.876,1.87408,1.87688,1.87375,1.87744,1.87452,1.87558,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.211,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,4.9,4.8,1.02783,2.45239,1.39893,2.34497,1.44897,2.47192,27.0168,15.7081,18,429.162,586.216,23.8994,19.5651,30.0001,19.1238,19.1476,20.5606,19.6747,100,23.8968,399.276,15.2609,102.336,103.616
3,1686662114.5,10,2023-06-13 09:15:14,09:15:14,5,"albert","901",1686662106.73214,0.00157199363750126,1.57199363750127,5.21547685152236,411.320136831099,319.067232473468,31.1728028449245,40.1858925850351,0.102099228562962,2.88650971105157,0.100134564689292,0.0627574713291125,283.840556781254,25.8329672181588,24.9675142857143,3.17352449870039,54.2105456383955,1.67783415085457,3.09503276732603,1.49569034784582,-69.3249194138059,-65.2515341433046,-4.77000499420811,144.494098229935,3.25111886541465,1.57831585274766,5.21547685152236,418.671916212319,415.854,-0.697860870096862,64.2812443311333,1.57199363750127,15.3129219475743,17.1670147574819,-1.6984611504496e-05,99.6152623046693,36,7,1,0,51947,1612.05442142857,1322.48919240239,0.820375028797368,0.176073805578921,6,0.5,"0: Broadleaf",2,TRUE,1686662106.73214,411.320142857143,416.000392857143,17.1733642857143,15.3119607142857,408.110357142857,16.9706535714286,500.013285714286,97.5998071428571,0.0999867321428572,24.5482071428571,24.9675142857143,999.9,0,0,9996.60428571429,0,12.2065642857143,-4.68025282142857,418.507321428571,422.469321428572,1.86140607142857,416.000392857143,15.3119607142857,1.67611678571429,1.49444392857143,14.677,12.9114464285714,1599.84785714286,0.97499875,0.0250011785714286,0,2.00035714285714,0,24277.8071428571,13847.2428571429,37.5311428571429,38.0466071428571,37.7632142857143,36.0511071428571,37.147,1559.84928571429,39.9992857142857,0,1686662113.7,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,-5.417625975,27.8203309305816,3.44357719198188,0,1.86242175,-0.0378075422138821,0.00411740991856531,1,1,2,"1/2",3.13215,2.79461,0.0919496,0.0920876,0.0928354,0.0863099,27682.8,27325.8,30988.9,30312.7,38714.9,36434.7,47320.6,45049.2,1.85053,2.15305,0.214756,0,21.4359,999.9,61,21.7,16.2836,63.6266,26.6186,1,-0.555648,-1.82685,20.2424,5.23301,11.962,4.9714,3.28955,9999,9999,9999,999.9,4.97261,1.87606,1.87408,1.87687,1.87378,1.87744,1.87453,1.87558,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.201,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,5,4.9,0.997314,2.46094,1.39893,2.34375,1.44897,2.50977,27.0168,15.7081,18,429.133,586.216,23.9209,19.5664,30.0001,19.1264,19.1508,19.8836,19.6747,100,23.9159,379.228,15.26,102.336,103.615
4,1686662119.5,15,2023-06-13 09:15:19,09:15:19,5,"albert","901",1686662112,0.00157258382566001,1.57258382566002,5.00711705888777,408.723364612355,319.778060563206,31.2422895099914,39.9322382036682,0.102060911052028,2.88681725931165,0.100097911100344,0.0627344174899342,284.040079840442,25.829068326714,24.9717037037037,3.1743174278875,54.2159921794454,1.6775194909989,3.09414145820039,1.4967979368886,-69.3509467116068,-66.6598109072704,-4.87241818771074,143.156904033854,-1.34296373760434,1.57489197230142,5.00711705888777,404.114759401832,407.242854545455,-1.82063392022289,64.2812443311333,1.57258382566002,15.3124502610372,17.16717750258,-6.05506074682485e-06,99.6152623046693,36,7,1,0,52184,1613.18763333333,1323.41884810817,0.820375026910906,0.176073801938048,6,0.5,"0: Broadleaf",2,TRUE,1686662112,408.72337037037,407.884259259259,17.1701222222222,15.3127259259259,405.520222222222,16.9674074074074,500.006666666667,97.5999148148148,0.10000072962963,24.5433925925926,24.9717037037037,999.9,0,0,9998.36037037037,0,13.2580037037037,0.839164111111111,415.863814814815,414.227185185185,1.85739888888889,407.884259259259,15.3127259259259,1.67580148148148,1.49452074074074,14.6740888888889,12.9122296296296,1599.92962962963,0.974997814814815,0.0250021888888889,0,1.96648518518519,0,24248.9925925926,13847.9518518519,37.6711481481481,38.1641111111111,37.8933703703704,36.1896296296296,37.2126296296296,1559.92851851852,40.0011111111111,0,1686662118.5,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,-2.381287725,58.0213783677298,6.10593206622866,0,1.86038775,-0.0485485553470933,0.00476836213363666,1,1,2,"1/2",3.13216,2.79483,0.0904138,0.0893587,0.0928329,0.0863132,27729.8,27407.7,30989,30312.4,38715.1,36434.1,47320.9,45048.9,1.8506,2.15295,0.215136,0,21.4344,999.9,61.1,21.7,16.3103,63.4866,26.5865,1,-0.555249,-1.82502,20.2422,5.23316,11.962,4.9716,3.28958,9999,9999,9999,999.9,4.97262,1.87604,1.87408,1.87688,1.87378,1.87744,1.87453,1.87559,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.179,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,5,5,0.961914,2.46216,1.39893,2.34375,1.44897,2.50122,27.0168,15.6993,18,429.187,586.177,23.9367,19.5681,30.0002,19.1293,19.1537,19.2264,19.6747,100,23.938,365.868,15.2582,102.337,103.614
5,1686662124.5,20,2023-06-13 09:15:24,09:15:24,5,"albert","901",1686662116.71429,0.00156925672431272,1.56925672431272,4.91087222432402,402.85478005106,315.417660809378,30.8163643687038,39.3589872484351,0.101854714356844,2.88784600373886,0.0999002384095848,0.0626101271480209,284.014551516753,25.8287178398297,24.9692357142857,3.17385029173075,54.209507516816,1.67725365011579,3.09402119101616,1.49659664161496,-69.2042215421911,-66.4004826076563,-4.8516577163436,143.558189650562,-6.71663337531437,1.572546092204,4.91087222432402,387.88298014131,394.805903030303,-2.54602453510713,64.2812443311333,1.56925672431272,15.3129251603874,17.1636852425181,-5.75247221019972e-08,99.6152623046693,36,7,1,0,52007,1613.04230714286,1323.29965712101,0.820375046123206,0.176073839017788,6,0.5,"0: Broadleaf",2,TRUE,1686662116.71429,402.854785714286,395.555142857143,17.1673535714286,15.3127214285714,399.666892857143,16.9646428571429,500.007392857143,97.6002071428571,0.0999796178571428,24.5427428571429,24.9692357142857,999.9,0,0,10004.2428571429,0,13.0962357142857,7.29965825,409.891571428571,401.706392857143,1.85464071428571,395.555142857143,15.3127214285714,1.6755375,1.49452535714286,14.6716464285714,12.9122678571429,1599.94607142857,0.974996571428571,0.0250035464285714,0,1.92540714285714,0,24222.6928571429,13848.0928571429,37.7275357142857,38.2765714285714,37.9931071428571,36.3033571428571,37.26975,1559.9425,40.0035714285714,0,1686662123.9,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,3.851541275,83.4014645515948,8.09906017392304,0,1.85635725,-0.0349703189493473,0.00355046545364123,1,1,2,"1/2",3.13222,2.79464,0.0882328,0.0864264,0.0928175,0.0863106,27795.9,27496,30988.6,30312.5,38715.2,36433.9,47320.3,45048.7,1.85072,2.15293,0.214547,0,21.4369,999.9,61.1,21.7,16.3102,63.2866,26.5425,1,-0.555244,-1.8251,20.2425,5.23346,11.962,4.97165,3.28965,9999,9999,9999,999.9,4.97261,1.87602,1.87407,1.87689,1.87375,1.87744,1.87451,1.87558,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.146,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,5.1,5.1,0.928955,2.46216,1.39893,2.34497,1.44897,2.48657,27.0168,15.7081,18,429.265,586.193,23.954,19.5697,30.0002,19.1321,19.1566,18.5023,19.6747,100,23.9571,345.825,15.2615,102.335,103.614
6,1686662129.5,25,2023-06-13 09:15:29,09:15:29,5,"albert","901",1686662122,0.0015650644538338,1.5650644538338,4.84713421217336,392.24462402684,305.824829789736,29.8791698884667,38.3224075271898,0.101522627007985,2.88763645892222,0.0995806060883374,0.0624092675066271,283.995908355453,25.8301864965974,24.9718962962963,3.17435388395974,54.1989172259159,1.67696478624134,3.09409278279728,1.49738909771841,-69.0193424140706,-66.7496472292146,-4.87759881183336,143.349319900334,-11.657636798554,1.57036820788735,4.84713421217336,371.08624673207,380.181884848485,-2.95924867928687,64.2812443311333,1.5650644538338,15.3125261862373,17.1584820433437,-1.32046851044411e-05,99.6152623046693,36,7,1,0,51892,1612.93715555556,1323.21332668964,0.820375004774366,0.176073759214527,6,0.5,"0: Broadleaf",2,TRUE,1686662122,392.24462962963,378.99462962963,17.1643814814815,15.3122851851852,389.08437037037,16.9616703703704,500.000074074074,97.6002851851852,0.0999895407407408,24.5431296296296,24.9718962962963,999.9,0,0,10003.0303703704,0,12.9575259259259,13.2500044444444,399.094962962963,384.888185185185,1.85210222222222,378.99462962963,15.3122851851852,1.67524888888889,1.49448407407407,14.6689740740741,12.9118518518519,1599.97962962963,0.974998703703704,0.0250015111111111,0,1.99627777777778,0,24190.1333333333,13848.3851851852,37.8192592592593,38.3933333333333,38.0830740740741,36.4302962962963,37.339962962963,1559.97962962963,40,0,1686662128.7,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,9.757496275,67.0979833508443,6.64987273411012,0,1.853233,-0.0286365478423996,0.00283197916659002,1,1,2,"1/2",3.13214,2.79458,0.0856676,0.0834184,0.0927972,0.0863024,27874,27586.4,30988.5,30312.2,38715.9,36433.6,47320.3,45048.2,1.85082,2.15282,0.215374,0,21.4373,999.9,61.1,21.7,16.3092,63.6566,26.5184,1,-0.555107,-1.85193,20.2422,5.23361,11.962,4.97165,3.28965,9999,9999,9999,999.9,4.97261,1.87604,1.87407,1.87689,1.87376,1.87744,1.87454,1.87558,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.108,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,5.2,5.2,0.892334,2.46704,1.39893,2.34375,1.44897,2.49878,27.0168,15.6993,18,429.329,586.156,23.9716,19.5709,30.0002,19.1346,19.1596,17.8307,19.6747,100,23.9798,332.464,15.2623,102.335,103.613
7,1686662134.5,30,2023-06-13 09:15:34,09:15:34,5,"albert","901",1686662126.71429,0.00156330157472261,1.56330157472262,4.53304177968369,379.836566197946,298.595010057308,29.1729072715866,37.1102548630127,0.10138293553322,2.88674877910716,0.0994456170127063,0.0623244875648273,283.797274944737,25.8273503790632,24.9719928571429,3.1743721622106,54.1962145798748,1.67663206908452,3.09363316623062,1.49774009312608,-68.9415994452674,-67.1306172944513,-4.90688691207448,142.818171292944,-14.1682143135413,1.56828052971952,4.53304177968369,354.315762622463,364.641624242424,-3.12649068938541,64.2812443311333,1.56330157472262,15.3107716552159,17.1545053663571,-7.81574923426027e-06,99.6152623046693,36,7,1,0,52009,1611.80898214286,1322.2878057333,0.820375007449925,0.176073764378355,6,0.5,"0: Broadleaf",2,TRUE,1686662126.71429,379.836571428571,363.5505,17.1609214285714,15.3113892857143,376.709071428571,16.9582071428571,500.029392857143,97.6005607142857,0.100024657142857,24.5406464285714,24.9719928571429,999.9,0,0,9997.90071428572,0,11.8407678571429,16.2860607142857,386.468857142857,369.203571428571,1.84952857142857,363.5505,15.3113892857143,1.67491535714286,1.49440107142857,14.6658857142857,12.911,1599.96821428571,0.974999535714286,0.0250006928571429,0,2.03381071428571,0,24153.8607142857,13848.2821428571,37.8926785714286,38.4908928571429,38.1514642857143,36.5376785714286,37.40825,1559.96821428571,40,0,1686662133.5,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,13.7405258536585,43.4286296864111,4.47116193040056,0,1.85110146341463,-0.0320130313588883,0.0032063302942739,1,1,2,"1/2",3.13221,2.79463,0.082903,0.0803641,0.0927834,0.086295,27958.3,27678,30988.6,30311.9,38716.2,36433.4,47320.2,45047.8,1.85107,2.15258,0.213809,0,21.4329,999.9,61.1,21.7,16.3099,63.6066,26.4944,1,-0.555084,-1.84111,20.2423,5.23376,11.962,4.97155,3.28963,9999,9999,9999,999.9,4.97261,1.87601,1.87405,1.87687,1.87375,1.87744,1.87453,1.87557,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.066,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,5.3,5.3,0.858154,2.46704,1.39893,2.34375,1.44897,2.50122,27.0168,15.6993,18,429.463,586.005,23.991,19.5722,30.0002,19.1371,19.1625,17.0894,19.6747,100,23.9941,312.41,15.2623,102.335,103.612
8,1686662139.5,35,2023-06-13 09:15:39,09:15:39,5,"albert","901",1686662132,0.00156491413102736,1.56491413102736,4.27600532904738,364.348995062086,287.726726201834,28.1110572501934,35.5970944876911,0.101615383135364,2.88725573777618,0.0996695973395,0.0624652161257408,283.750038347345,25.821341073441,24.9603518518519,3.17216926910765,54.1998557689711,1.67623373402641,3.09269039602507,1.49593553508124,-69.0127131783066,-66.1234042711037,-4.83200893268421,143.781911965251,-15.7975026995674,1.56574454155663,4.27600532904738,337.548047489869,348.606781818182,-3.20905278387543,64.2812443311333,1.56491413102736,15.3087703346552,17.1545975232198,-1.49144936121542e-05,99.6152623046693,36,7,1,0,51953,1611.54078888889,1322.06777902137,0.820375002690992,0.176073755193614,6,0.5,"0: Broadleaf",2,TRUE,1686662132,364.349,346.076296296296,17.1568518518519,15.3101666666667,361.262703703704,16.954137037037,499.992518518519,97.6005703703704,0.0999721592592593,24.5355518518519,24.9603518518519,999.9,0,0,10000.812962963,0,11.5522703703704,18.2727074074074,370.709259259259,351.457148148148,1.84667111111111,346.076296296296,15.3101666666667,1.67451777777778,1.49428185185185,14.6622,12.9097777777778,1599.98851851852,0.975000888888889,0.0249994148148148,0,2.06758148148148,0,24108.1555555556,13848.4592592593,37.958037037037,38.5947037037037,38.2312222222222,36.671037037037,37.4904814814815,1559.98851851852,40,0,1686662138.9,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,16.7377756097561,24.3365456445993,2.51187162624251,0,1.84862317073171,-0.0324476655052241,0.00324769895203448,1,1,2,"1/2",3.13215,2.79478,0.0799969,0.0771964,0.0927794,0.0862941,28047.1,27773.2,30988.8,30311.6,38716.5,36432.9,47320.6,45047.5,1.8508,2.1526,0.212617,0,21.4281,999.9,61.1,21.7,16.3101,63.6166,26.4984,1,-0.554731,-1.89712,20.2418,5.23286,11.962,4.97105,3.28953,9999,9999,9999,999.9,4.9726,1.87603,1.87407,1.87689,1.87377,1.87744,1.87453,1.87558,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.023,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,5.4,5.3,0.820312,2.4646,1.39893,2.34375,1.44897,2.49878,27.0168,15.6993,18,429.351,586.056,24.0099,19.5734,30.0001,19.1396,19.1652,16.4093,19.6747,100,24.0232,299.039,15.2623,102.336,103.611
9,1686662144.5,40,2023-06-13 09:15:44,09:15:44,5,"albert","901",1686662136.71429,0.0015625035218,1.56250352180001,4.13143482943676,349.709780948654,275.779811052533,26.9439409322325,34.166966919524,0.101661176525519,2.88730051507701,0.0997136842742991,0.0624929197334185,283.751819322925,25.8170792914079,24.9436035714286,3.1690022412367,54.208134757866,1.67599889717105,3.09178484863445,1.49300334406565,-68.9064053113804,-64.2793011009682,-4.69666483668547,145.869448073891,-16.6101985367651,1.56438344085667,4.13143482943676,320.548503925566,332.184793939394,-3.28827031843463,64.2812443311333,1.56250352180001,15.3096637460408,17.1524788441692,-5.01068878639471e-06,99.6152623046693,36,7,1,0,52010,1611.55093214286,1322.07609771034,0.820375001088173,0.176073752100174,6,0.5,"0: Broadleaf",2,TRUE,1686662136.71429,349.709785714286,330.43475,17.1543821428571,15.3093928571429,346.663142857143,16.951675,500.018321428571,97.6009392857143,0.0999795357142857,24.5306571428571,24.9436035714286,999.9,0,0,10001.0325,0,11.5573607142857,19.2750464285714,355.813607142857,335.572214285714,1.84497964285714,330.43475,15.3093928571429,1.67428321428571,1.49421142857143,14.6600321428571,12.9090571428571,1599.99357142857,0.975001892857143,0.0249985035714286,0,2.02108214285714,0,24062.1607142857,13848.5071428571,37.9908214285714,38.68725,38.2965714285714,36.7898571428571,37.5533571428571,1559.99535714286,40,0,1686662143.7,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,18.4701853658537,14.0966299651568,1.43028685261435,0,1.84630292682927,-0.0235879442508743,0.00242117109731032,1,1,2,"1/2",3.13219,2.79463,0.076969,0.0739876,0.0927774,0.0862894,28139.1,27869.6,30988.4,30311.4,38715.8,36432.7,47319.9,45047.3,1.85123,2.15255,0.212088,0,21.4199,999.9,61.1,21.7,16.309,63.3266,26.4583,1,-0.55466,-2.00819,20.2404,5.23331,11.962,4.97125,3.28948,9999,9999,9999,999.9,4.9726,1.87598,1.87406,1.87685,1.87375,1.87743,1.87446,1.87552,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.978,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,5.5,5.4,0.786133,2.4707,1.39893,2.34497,1.44897,2.48779,27.0376,15.6993,18,429.57,586.051,24.0467,19.5748,30.0002,19.1425,19.1678,15.6614,19.6747,100,24.0738,278.95,15.2623,102.335,103.611
10,1686662149.5,45,2023-06-13 09:15:49,09:15:49,5,"albert","901",1686662142,0.00156231603709836,1.56231603709837,3.80681726582939,332.90003265018,264.68614567484,25.8601374923358,32.5247118378175,0.101921286150955,2.8878831812102,0.0999643056208689,0.0626503882170955,283.749563449846,25.8129826193476,24.9222925925926,3.1649764217961,54.2162380527762,1.67585892565783,3.09106457003985,1.48911749613827,-68.8981372360381,-61.5806242980686,-4.4980026886226,148.772799227117,-17.2191882520678,1.56402123658098,3.80681726582939,303.677530307175,315.734290909091,-3.29300971780433,64.2812443311333,1.56231603709837,15.3085578635736,17.15114375645,7.86685163793335e-06,99.6152623046693,36,7,1,0,52044,1611.53848888889,1322.06585592681,0.820374980208095,0.176073711801624,6,0.5,"0: Broadleaf",2,TRUE,1686662142,332.900037037037,312.861555555556,17.1529111111111,15.3082555555556,329.89962962963,16.9502111111111,499.993740740741,97.6011925925926,0.0999448296296296,24.526762962963,24.9222925925926,999.9,0,0,10004.3555555556,0,11.5603407407407,20.0385518518518,338.71,317.725481481481,1.84465925925926,312.861555555556,15.3082555555556,1.6741437037037,1.49410296296296,14.6587444444444,12.9079481481481,1599.97814814815,0.97500262962963,0.0249978444444444,0,2.05314814814815,0,24006.8333333333,13848.3740740741,38.0413333333333,38.7798888888889,38.3677777777778,36.921037037037,37.6200740740741,1559.98333333333,39.9974074074074,0,1686662148.5,0,1686661819,09:10:19,1686661817,1686661819,1,0.105,0.013,3.23,0.203,419,17,0.2,0.06,19.4805658536585,9.13389825783976,0.918279198100063,0,1.84531317073171,-0.00646202090591751,0.0013694051388341,1,1,2,"1/2",3.13216,2.79469,0.073872,0.0707046,0.0927736,0.0862832,28233.9,27968.4,30988.8,30311.3,38716.2,36432.7,47320.5,45047.3,1.85105,2.15258,0.212543,0,21.4113,999.9,61.2,21.7,16.3364,63.2766,26.4663,1,-0.554525,-2.09651,20.2392,5.23331,11.962,4.97135,3.28958,9999,9999,9999,999.9,4.9726,1.876,1.87408,1.87685,1.87375,1.87744,1.87449,1.87552,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.932,0.2027,1.90784046615601,0.00390947492569716,-2.00057122522893e-06,5.82527515006727e-10,0.202705000000005,0,0,0,0,2116,1,16,5.5,5.5,0.748291,2.47681,1.39893,2.34375,1.44897,2.48535,27.0376,15.6906,18,429.502,586.105,24.1029,19.5765,30.0003,19.1446,19.1707,14.9681,19.6747,100,24.1326,265.5,15.2623,102.336,103.611
